CODPROD;REFERENCIA;DESCRICAO SANKHYA;LAYOUT;NOME PT;NOME EN;NOME ES;CAP VALOR;CAP UNID;QTD PECAS;LARG CM;ALT CM;PROF CM;SELOS;APLICACOES;URL QR
;078.036.001;Forma de Gelo Firenze (078);2;Forma de Gelo Firenze;Firenze Ice Tray;Forma de hielo de Florencia;;;1;28.3;3.8;10.7;BPA,ATX,BRA,LAV;COZI;nitron.com.br/p/078.036.001
;079.012.002;Porta Shampoo e Prateleira Madri - Branco (079/B);3;Porta Shampoo e Prateleira Madri;Madrid Shampoo Holder and Shelf;Porta Champú y Estante Madrid;;;1;17.0;39.6;9.2;BPA,BRA,HIG,FCL,RCL;BANH,HIGI;nitron.com.br/p/079.012.002
;079.012.003;Porta Shampoo e Prateleira Madri - Preto (079/P);3;Porta Shampoo e Prateleira Madri;Madrid Shampoo Holder and Shelf;Porta Champú y Estante Madrid;;;1;17.0;39.6;9.2;BPA,BRA,HIG,FCL,RCL;BANH,HIGI;nitron.com.br/p/079.012.003
;081.012.002;Porta Papel Toalha - Branco;3;Porta Papel Toalha;Paper Towel Holder;Soporte para toallas de papel;;;1;19.5;26.3;14.8;BPA,ATX,BRA,LAV;COZI,MANT,TEMP;nitron.com.br/p/081.012.002
;081.012.003;Porta Papel Toalha - Preto;3;Porta Papel Toalha;Paper Towel Holder;Soporte para toallas de papel;;;1;19.5;26.3;14.8;BPA,ATX,BRA,LAV;COZI,MANT,TEMP;nitron.com.br/p/081.012.003
;088.012.002;Jarra Estrela com Tampa - Branco 1,6L;3;Jarra Estrela com Tampa;Star Jug with Lid;Tarro Estrella con Tapa;1.6;L;1;18.0;17.4;13.0;BPA,ATX,BRA,LAV;BEBI,COZI;nitron.com.br/p/088.012.002
;088.012.547;Jarra Estrela com Tampa - Vermelho 1,6L;3;Jarra Estrela com Tampa;Star Jug with Lid;Tarro Estrella con Tapa;1.6;L;1;18.0;17.4;13.0;BPA,ATX,BRA,LAV;BEBI,COZI;nitron.com.br/p/088.012.547
;090.012.002;Saleiro Rubi - Transparente e Branco 1 Kg;2;Saleiro Rubi;Rubi Salt Shaker;Salero Ruby;1.0;KG;1;17.5;12.0;11.0;BPA,ATX,BRA,LAV;COZI,MANT,TEMP;nitron.com.br/p/090.012.002
;090.012.003;Saleiro Rubi - Transparente e Preto 1 Kg;2;Saleiro Rubi;Rubi Salt Shaker;Salero Ruby;1.0;KG;1;17.5;12.0;11.0;BPA,ATX,BRA,LAV;COZI,MANT,TEMP;nitron.com.br/p/090.012.003
;091.012.002;Lixeira Verona - Branca 4L (091/B);3;Lixeira Verona;Verona Bin;Basusero Verona;4.0;L;1;28.0;20.7;23.5;BRA,HIG,FCL,RCL;PET,LIXO,COZI,BANH;nitron.com.br/p/091.012.002
;091.012.003;Lixeira Verona - Preta 4L;3;Lixeira Verona;Verona Bin;Bote de Basura Verona;4.0;L;1;28.0;20.7;23.5;BRA,HIG,FCL,RCL;PET,LIXO,COZI,BANH;nitron.com.br/p/091.012.003
;092.012.002;Saboneteira de Parede com Ventosa - Branco;2;Saboneteira de Parede com Ventosa;Wall-Mounted Soap Dish w/ Suction Cup;Jabonera de pared con ventosa;;;1;13.6;7.5;9.5;BRA,HIG,FCL,RCL;BANH,HIGI;nitron.com.br/p/092.012.002
;092.012.003;Saboneteira de Parede com Ventosa - Preto;2;Saboneteira de Parede com Ventosa;Wall-Mounted Soap Dish w/ Suction Cup;Jabonera de pared con ventosa;;;1;13.6;7.5;9.5;BRA,HIG,FCL,RCL;BANH,HIGI;nitron.com.br/p/092.012.003
;093.012.002;Cestinho Versátil - Branco 4,2L (093/B);4;Cestinho Versátil;Versatile Basket;Cesta Versátil;4.2;L;1;28.5;10.5;20.0;BRA,EMP,HIG,FCL,RCL;BRIN,PECA,FERR,ESCR,DOCU,ROUP;nitron.com.br/p/093.012.002
;093.012.003;Cestinho Versátil - Preto 4,2L (093/P);4;Cestinho Versátil;Versatile Basket;Cesta Versátil;4.2;L;1;28.5;10.5;20.0;BRA,EMP,HIG,FCL,RCL;BRIN,PECA,FERR,ESCR,DOCU,ROUP;nitron.com.br/p/093.012.003
;094.012.002;Açucareiro Doçura - Branco;1;Açucareiro Doçura;Sweetner Sugar Bowl;Azucarero Dulzura;350.0;ML;1;12.5;9.4;9.0;BPA,ATX,BRA;ACUC,COZI,MANT;nitron.com.br/p/094.012.002
;094.012.003;Açucareiro Doçura - Preto;1;Açucareiro Doçura;Sweetner Sugar Bowl;Azucarero Dulzura;350.0;ML;1;12.5;9.4;9.0;BPA,ATX,BRA;ACUC,COZI,MANT;nitron.com.br/p/094.012.003
;095.012.002;Cantoneira para Banheiro Premium - Branco (095/B);3;Cantoneira para Banheiro Premium;Premium bathroom Corner;Cantoneira de baño Premium;;;1;21.5;38.6;14.3;ATX,BRA,HIG,FCL,RCL;DECO;nitron.com.br/p/095.012.002
;095.012.003;Cantoneira para Banheiro Premium- Preto (095/P);3;Cantoneira para Banheiro Premium;Premium bathroom Corner;Esquina del baño;;;1;21.5;38.6;14.3;BRA,HIG,FCL,RCL;DECO;nitron.com.br/p/095.012.003
;096.012.002;Escorredor de Pratos Rattan - Branco (096/B);3;Escorredor de Pratos Rattan;Rattan Dish Drainer;Escurridor de platos de ratán;;;1;33.7;9.8;22.2;BPA,ATX,BRA,LAV,FCL;COZI;nitron.com.br/p/096.012.002
;096.012.003;Escorredor de Pratos Rattan - Preto (096/P);3;Escorredor de Pratos Rattan;Rattan Dish Drainer;Escurridor de platos de ratán;;;1;33.7;9.8;22.0;BPA,ATX,BRA,LAV;COZI;nitron.com.br/p/096.012.003
;096.012.086;Escorredor de Pratos Rattan - Chumbo (096/B);3;Escorredor de Pratos Rattan;Rattan Dish Drainer;Escurridor de platos de ratán;;;1;33.7;9.8;22.2;BPA,ATX,BRA,LAV;COZI;nitron.com.br/p/096.012.086
;097.012.001;Caixa Organizadora Nitronbox - Transparente 10L;4;Caixa Organizadora Nitronbox;Nitronbox Storage Box –;Caja Organizadora Nitronbox –;10.0;L;1;41.0;13.6;29.3;BRA,EMP,FCL,TRP,RCL;PECA,FERR,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/097.012.001
;098.012.999;Balde Limpex - Sortido 8L;3;Balde Limpex;;;8.0;L;1;31.2;24.3;28.3;ATX,BRA,FCL,RCL;LIMP;nitron.com.br/p/098.012.999
;100.006.002;Lixeira com Pedal - Branca 7L (100/B);3;Lixeira com Pedal;Pedal Bin;Papelera con Pedal;7.0;L;1;28.0;27.2;23.0;BRA,PED,HIG,FCL,RCL;LIXO,COZI,BANH;nitron.com.br/p/100.006.002
;100.006.003;Lixeira com Pedal - Preta 7L;3;Lixeira com Pedal;Pedal Bin;Papelera con Pedal;7.0;L;1;28.0;27.2;28.0;BRA,PED,HIG,FCL,RCL;LIXO,COZI,BANH;nitron.com.br/p/100.006.003
;103.024.003;Marmibox com Divisória para Talheres - Preto 780ml;2;Marmibox com Div. para Talheres;Marmibox with Cutlery Divider;Marmibox con Div. para cubiertos;780.0;ML;1;20.5;6.0;12.5;BPA,ATX,BRA,MIC;MANT,GRAO,CAFE,ACUC;nitron.com.br/p/103.024.003
;105.024.003;Marmita Bom Apetite com Bandeija e Válvula - Preto 800ml;2;Marmita Bom Apetite c/ Bandeija e Válvula;Bom Apetite Lunch Box w/ tray and Valve;Fiambrera Bom Appetite c/ Bande yja Válvula;800.0;ML;1;17.0;7.0;12.7;BPA,ATX,BRA,VLV;SOBR,PET,MANT,GRAO;nitron.com.br/p/105.024.003
;106.012.001;Organiza Tudo com 16 Divisórias (106);4;Organiza Tudo com 16 Divisórias;Organize Everything with 16 Dividers;Organiza todo con 16 divisores;;;1;30.0;4.8;19.5;BRA,EMP,FCL,RCL;FERR,ARTE,PECA,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/106.012.001
;109.012.001;Caixa Organizadora Nitronbox - Transparente 6L;4;Caixa Organizadora Nitronbox;Nitronbox Storage Box –;Caja Organizadora Nitronbox –;6.0;L;1;37.0;13.0;22.8;BRA,EMP,FCL,TRP,RCL;PECA,FERR,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/109.012.001
;110.006.001;Caixa Organizadora Nitronbox - Transparente 20L;4;Caixa Organizadora Nitronbox;Nitronbox Storage Box –;Caja Organizadora Nitronbox –;20.0;L;1;41.0;25.6;29.3;BRA,EMP,FCL,TRP,RCL;PECA,FERR,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/110.006.001
;111.012.002;Espremedor Portátil Fit - Branco 510ml;2;Espremedor Portátil Fit;Portable Fit Juicer;Exprimidor portátil Fit;510.0;ML;1;10.3;16.7;9.5;BPA,ATX,BRA,LAV;BEBI,COZI;nitron.com.br/p/111.012.002
;111.012.549;Espremedor Portátil Fit - Vermelho 510ml;2;Espremedor Portátil Fit;Portable Fit Juicer;Exprimidor portátil Fit;510.0;ML;1;10.3;16.7;9.5;BPA,ATX,BRA,LAV;BEBI,COZI;nitron.com.br/p/111.012.549
;112.012.002;Copo Medidor com Tampa - Branco 500ml;2;Copo Medidor com Tampa;Measuring Cup with Lid;Vaso Medidor con Tapa;500.0;ML;1;9.3;16.0;8.5;BPA,ATX,BRA,LAV;BEBI,COZI;nitron.com.br/p/112.012.002
;112.012.547;Copo Medidor com Tampa - Vermelho 500ml;2;Copo Medidor com Tampa;Measuring Cup with Lid;Vaso Medidor con Tapa;500.0;ML;1;9.3;16.0;8.5;BPA,ATX,BRA,LAV;BEBI,COZI;nitron.com.br/p/112.012.547
;113.012.002;Tanquinho Porta Sabão em Barra - Branco;2;Tanquinho Porta Sabão em Barra;Small Soap Bar Holder;Jabonera Tanquinho en Barra;;;1;13.2;12.2;12.9;ATX,BRA,HIG,FCL;LIMP;nitron.com.br/p/113.012.002
;113.012.003;Tanquinho Porta Sabão em Barra - Preto;2;Tanquinho Porta Sabão em Barra;Small Soap Bar Holder;Jabonera Tanquinho en Barra;;;1;13.2;12.2;12.9;BPA,ATX,BRA,FCL;LIMP;nitron.com.br/p/113.012.003
;114.012.002;Jarrinha com Espremedor - Branco 500ml;2;Jarrinha com Espremedor;Small Jug with Squeezer;Jarra con Exprimidor;500.0;ML;1;16.0;11.0;13.2;BPA,ATX,BRA,LAV;BEBI,COZI;nitron.com.br/p/114.012.002
;114.012.547;Jarrinha com Espremedor - Vermelho 500ml;2;Jarrinha com Espremedor;Small Jug with Squeezer;Jarra con Exprimidor;500.0;ML;1;16.0;11.0;13.2;BPA,ATX,BRA,LAV;BEBI,COZI;nitron.com.br/p/114.012.547
;116.012.002;Porta Detergente com Telinha - Branco (116/B);2;Porta Detergente com Telinha;Detergent Holder with Mesh;Porta Detergente con Rejilla;;;1;23.0;6.5;10.5;BPA,ATX,BRA,LAV;LIMP,COZI,MANT,TEMP;nitron.com.br/p/116.012.002
;116.012.003;Porta Detergente com Telinha - Preto;2;Porta Detergente com Telinha;Detergent Holder with Mesh;Porta Detergente con Rejilla;;;1;23.0;6.5;10.5;BPA,ATX,BRA,LAV;LIMP,COZI,MANT,TEMP;nitron.com.br/p/116.012.003
;116.012.086;Porta Detergente com Telinha - Chumbo (116/B);2;Porta Detergente com Telinha;Detergent Holder with Mesh;Porta Detergente con Rejilla;;;1;23.0;6.5;10.5;BPA,ATX,BRA,LAV;LIMP,COZI,MANT,TEMP;nitron.com.br/p/116.012.086
;117.012.002;Tábua Extra Grande - Branca (117);1;Tábua Extra Grande;Extra Large Board;Tablero Extra Grande;;;1;39.0;0.5;24.5;BPA,ATX,BRA;COZI;nitron.com.br/p/117.012.002
;120.006.001;Frasqueira com Bandeja - Rosa 2,8L;4;Frasqueira com Bandeja;Case with Tray - Marsala;Estuche con Bandeja - Marsala;2.8;L;1;24.2;12.8;16.3;BRA,EMP,FCL;MEDI,COSM,MAQU,HIGI;nitron.com.br/p/120.006.001
;120.006.012;Frasqueira com Bandeja - Rosa 2,8L;4;Frasqueira com Bandeja;Case with Tray;Estuche con Bandeja;2.8;L;1;24.2;12.8;16.3;BRA,EMP,FCL;MAQU,MEDI,COSM,HIGI;nitron.com.br/p/120.006.012
;121.012.002;Escorredor de Arroz Caribe - Branco;3;Escorredor de Arroz Caribe;Caribbean Rice Strainer;Colador de Arroz Caribe;;;1;25.4;14.7;16.5;BPA,ATX,BRA,LAV,HIG;COZI;nitron.com.br/p/121.012.002
;121.012.003;Escorredor de Arroz Caribe - Preto;3;Escorredor de Arroz Caribe;Caribbean Rice Strainer;Colador de Arroz Caribe;;;1;25.4;14.7;16.5;BPA,ATX,BRA,LAV,HIG;COZI;nitron.com.br/p/121.012.003
;122.012.002;Porta Escovas com Tampa - Branco;2;Porta Escovas com Tampa;Brush Holder with Lid;Portaescobillas con Tapa;;;1;11.5;20.2;8.9;BRA,HIG,FCL,RCL;BANH,HIGI;nitron.com.br/p/122.012.002
;122.012.003;Porta Escovas com Tampa - Preto;2;Porta Escovas com Tampa;Brush Holder with Lid;Portaescobillas con tapa;;;1;11.5;20.2;8.9;BPA,BRA,HIG,FCL;BANH,HIGI;nitron.com.br/p/122.012.003
;122.012.066;Porta Escovas com Tampa - Fumê;2;Porta Escovas com Tampa;Brush Holder with Lid;Portaescobillas con tapa - Ahumado;;;1;11.5;20.2;8.9;BRA,HIG,FCL,RCL;BANH,HIGI;nitron.com.br/p/122.012.066
;123.012.027;Caixa de Ferramentas Nitronfort - Amarela 2,2L;4;Caixa de Ferramentas Nitronfort;Nitronfort Tool Box;Caja de herramientas Nitronfort;2.2;L;1;29.0;9.8;14.0;BRA,EMP,FCL,RCL;FERR,PECA,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/123.012.027
;123.012.028;Caixa de Ferramentas Nitronfort - Laranja 2,2L;4;Caixa de Ferramentas Nitronfort;Nitronfort Tool Box;Caja de herramientas Nitronfort;2.2;L;1;29.0;9.8;14.0;BRA,EMP,FCL,RCL;FERR,PECA,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/123.012.028
;123.012.045;Caixa de Ferramentas Nitronfort - Azul 2,2L;4;Caixa de Ferramentas Nitronfort;Nitronfort Tool Box;Caja de herramientas Nitronfort;2.2;L;1;29.0;9.8;14.0;BRA,EMP,FCL,RCL;FERR,PECA,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/123.012.045
;124.012.003;Kit Marmita com Talheres - Preto 780ml;2;Kit Marmita com Talheres;Lunch Box Kit with Cutlery;Kit Fiambrera con Cubiertos;780.0;ML;1;20.5;6.0;12.5;BPA,ATX,BRA,LAV;SOBR,MANT,GRAO,CAFE;nitron.com.br/p/124.012.003
;125.012.001;Caixa Organizadora Nitronbox - Transparente 4,3L;4;Caixa Organizadora Nitronbox;Nitronbox Storage Box –;Caja Organizadora Nitronbox –;4.3;L;1;29.0;14.5;17.8;BRA,EMP,FCL,TRP,RCL;PECA,FERR,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/125.012.001
;126.006.001;Frasqueira com Bandeja - Rosa 6,2L;4;Frasqueira com Bandeja;Case with Tray;Estuche con Bandeja;6.2;L;1;28.0;18.8;19.8;BRA,EMP,FCL;MEDI,COSM,MAQU,HIGI;nitron.com.br/p/126.006.001
;126.006.619;Frasqueira com Bandeja - Rosa 6,2L;4;Frasqueira com Bandeja;Case with Tray - Turquoise;Estuche con Bandeja - Turquesa;6.2;L;1;28.0;18.8;19.8;BRA,EMP,FCL;MEDI,COSM,MAQU,HIGI;nitron.com.br/p/126.006.619
;128.012.002;Cestinho para Prendedor - Branco;3;Cestinho para Prendedor;Clothespin Basket;Cesta para ropa;;;1;24.0;11.0;18.8;ATX,BRA,FCL,RCL;COST,ROUP,LIMP,BANH;nitron.com.br/p/128.012.002
;128.012.003;Cestinho para Prendedor - Preto;3;Cestinho para Prendedor;Clothespin Basket;Cesta para ropa;;;1;24.0;11.0;18.8;ATX,BRA,FCL,RCL;LIMP,ROUP,BANH;nitron.com.br/p/128.012.003
;129.012.002;Porta Talheres Stillo com 4 Divisórias - Branco;2;Porta Talheres Stillo com 4 Div.;Stillo Cutlery Holder with 4 Comp.;Stillo Porta Cubiertos con 4 Div.;;;1;30.0;4.2;21.5;BPA,ATX,BRA,LAV;COZI;nitron.com.br/p/129.012.002
;129.012.003;Porta Talheres Stillo com 4 Divisórias - Preto;2;Porta Talheres Stillo com 4 Div.;Stillo Cutlery Holder with 4 Comp.;Stillo Porta Cubiertos con 4 Div.;;;1;30.0;4.2;21.5;BPA,ATX,BRA,LAV;COZI;nitron.com.br/p/129.012.003
;130.012.002;Lixeira Retrátil - Branca 4L (130/B);3;Lixeira Retrátil;Retractable Bin;Basusero Retráctil;4.0;L;1;18.9;27.5;15.9;BPA,BRA,HIG,FCL,RCL;PET,LIXO,COZI,BANH;nitron.com.br/p/130.012.002
;130.012.003;Lixeira Retrátil - Preta 4L;3;Lixeira Retrátil;Retractable Bin;Basusero retráctil;4.0;L;1;18.9;27.5;15.9;BPA,BRA,HIG,FCL,RCL;PET,LIXO,COZI,BANH;nitron.com.br/p/130.012.003
;131.012.002;Frasqueira Medicamento - Branca 2,2L;4;Frasqueira Medicamento;;;;;1;29.0;9.8;14.0;BRA,EMP,FCL;MEDI,COSM,MAQU,HIGI;nitron.com.br/p/131.012.002
;131.012.009;Frasqueira Medicamento - Vermelha 2,2L;4;Frasqueira Medicamento;;;;;1;29.0;9.8;14.0;BRA,EMP,FCL;MEDI,COSM,MAQU,HIGI;nitron.com.br/p/131.012.009
;132.036.683;Prato Unitário (132);1;Prato Unitário;Single Plate;Plato Unitario;;;1;21.7;2.8;21.7;BPA,ATX,BRA;COZI,MANT,TEMP;nitron.com.br/p/132.036.683
;133.012.002;Porta Detergente Rattan com Base - Branco (133/B);2;Porta Detergente Rattan com Base;Rattan Detergent Holder with Base;Porta Detergente de Ratán con Base;;;1;19.7;7.0;10.5;BPA,ATX,BRA,LAV;LIMP,COZI,MANT,TEMP;nitron.com.br/p/133.012.002
;133.012.003;Porta Detergente Rattan com Base - Preto (133/B);2;Porta Detergente Rattan com Base;Rattan Detergent Holder with Base;Porta Detergente de Ratán con Base;;;1;19.7;7.0;10.5;BPA,ATX,BRA,LAV;PET,LIMP,COZI,MANT;nitron.com.br/p/133.012.003
;133.012.086;Porta Detergente Rattan com Base - Chumbo (133/B);2;Porta Detergente Rattan com Base;Rattan Detergent Holder with Base;Porta Detergente de Ratán con Base;;;1;19.7;7.0;10.5;BPA,ATX,BRA,LAV;PET,LIMP,COZI,MANT;nitron.com.br/p/133.012.086
;134.012.002;Lixeira Basculante Rattan - Branca 4,5L (134/B);3;Lixeira Basculante Rattan;Rattan Tipping Bin;Papelera basculante de ratán;4.5;L;1;19.0;30.0;16.0;BPA,BRA,TBA,HIG,FCL,RCL;PET,LIXO,COZI,BANH;nitron.com.br/p/134.012.002
;134.012.003;Lixeira Basculante Rattan - Preta 4,5L (134/B);3;Lixeira Basculante Rattan;Rattan Tipping Bin;Papelera basculante de ratán;4.5;L;1;19.0;30.0;16.0;BPA,BRA,TBA,HIG,FCL,RCL;PET,LIXO,COZI,BANH;nitron.com.br/p/134.012.003
;134.012.086;Lixeira Basculante Rattan - Chumbo 4,5L (134/B);3;Lixeira Basculante Rattan;Rattan Tipping Bin;Papelera basculante de ratán;4.5;L;1;19.0;30.0;16.0;BPA,BRA,TBA,HIG,FCL,RCL;LIXO,COZI,BANH;nitron.com.br/p/134.012.086
;135.024.001;Tampa para Micro-ondas - Transparente (135);2;Tampa para Micro-ondas;Microwave Lid;Tapa para Microondas;;;1;25.5;6.8;25.5;BPA,ATX,BRA,MIC;COZI;nitron.com.br/p/135.024.001
;136.024.001;Travessa Micro-ondas com Tampa - Transparente 1,5L (136);3;Travessa Micro-ondas com Tampa;Microwave Dish with Lid;Fuente para Microondas con Tapa;1.5;L;1;31.0;9.2;20.8;BPA,ATX,BRA,MIC,LAV,TRP;SOBR,FRIO,COZI;nitron.com.br/p/136.024.001
;137.012.002;Frasqueira Medicamentos - Branca 2,8L (137);4;Frasqueira Medicamentos;Medic Case;Estuche Médico;2.8;L;1;24.2;12.8;16.3;BRA,EMP,FCL;MEDI,COSM,MAQU,HIGI;nitron.com.br/p/137.012.002
;137.012.009;Frasqueira Medicamentos - Vermelha 2,8L;4;Frasqueira Medicamentos;Medic Case;Estuche Médico;2.8;L;1;24.2;12.8;16.3;BRA,EMP,FCL;MEDI,COSM,MAQU,HIGI;nitron.com.br/p/137.012.009
;138.012.001;Organiza Tudo com 11 Divisórias (138);4;Organiza Tudo com 11 Divisórias;Organize Everything with 11 Dividers;Organiza todo con 11 divisores;;;1;26.2;4.3;17.5;BPA,BRA,EMP,FCL,RCL;FERR,PECA,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/138.012.001
;139.012.001;Pote com 3 Divisórias - Transparente 1,1L;3;Pote com 3 Divisórias;3-Compartment container;Recipientes con 3 Divisores;1.1;L;1;24.0;6.5;14.0;BPA,ATX,BRA,LAV,EMP,TRP;MANT,GRAO,CAFE,ACUC,FARI,MASS;nitron.com.br/p/139.012.001
;139.012.003;Pote com 3 Divisórias - Preto 1,1L;3;Pote com 3 Divisórias;3-Compartment container;Recipientes con 3 Divisores;1.1;L;1;24.0;6.5;24.0;BPA,ATX,BRA,LAV,EMP;MANT,GRAO,CAFE,ACUC,FARI,MASS;nitron.com.br/p/139.012.003
;140.012.001;Estojo Multi uso - Transparente;4;Estojo Multi uso;Multipurpose Case;Estuche Multiuso;;;1;21.0;3.5;6.8;BPA,BRA,EMP,FCL,TRP,RCL;HIGI,MAQU,PECA,FERR,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/140.012.001
;140.012.066;Estojo Multi uso - Fumê;4;Estojo Multi uso;Multipurpose Case;Estuche Multiuso;;;1;21.0;3.5;6.8;BPA,BRA,EMP,FCL,RCL;HIGI,MAQU,PECA,FERR,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/140.012.066
;142.006.002;Frasqueira Medicamentos - Branca 6,2L (142);4;Frasqueira Medicamentos;Medic Case;Estuche Médico;6.2;L;1;28.0;18.8;19.8;BRA,EMP,FCL;MEDI,COSM,MAQU,HIGI;nitron.com.br/p/142.006.002
;142.006.009;Frasqueira Medicamentos - Vermelha 6,2L;4;Frasqueira Medicamentos;Medic Case;Estuche Médico;6.2;L;1;28.0;18.8;19.8;ATX,BRA,EMP,FCL,RCL;MEDI,PET,COSM,MAQU,HIGI;nitron.com.br/p/142.006.009
;144.006.002;Porta Talheres com 6 Divisórias e Tampa - Branco;2;Porta Talheres com 6 Div. e Tampa;Cutlery Holder w/ 4 Comp. and Lid;Portacubiertos con 4 Div. y tapa;;;1;34.0;5.0;29.0;BPA,ATX,BRA,LAV;COZI;nitron.com.br/p/144.006.002
;144.006.003;Porta Talheres com 6 Divisórias e Tampa - Preto;2;Porta Talheres com 6 Div. e Tampa;Door Cutlery with 4 Comp. and Lid;Portacubiertos con 4 Div. y tapa;;;1;34.0;5.0;29.0;BPA,ATX,BRA,LAV;COZI;nitron.com.br/p/144.006.003
;146.024.001;Forma de Ovos e Omeleteira Micro-ondas (146);2;Forma de Ovos e Omelet. Microondas;Microwave Egg and Omelette Pan;Molde para huevos y tortilla para Microond.;;;1;18.0;6.0;15.0;BPA,ATX,BRA,MIC;COZI;nitron.com.br/p/146.024.001
;147.012.604;Frasqueira Mini - Natural 1L;4;Frasqueira Mini;Mini Case;Estuche Mini;1.0;L;1;15.0;9.5;12.5;BRA,EMP,HIG,FCL;MEDI,COSM,MAQU,HIGI;nitron.com.br/p/147.012.604
;147.012.607;Frasqueira Mini - Rosa 1L;4;Frasqueira Mini;Mini Case - Lilac;Estuche Mini - Lila;1.0;L;1;15.0;9.5;12.5;BRA,EMP,FCL;MEDI,COSM,MAQU,HIGI;nitron.com.br/p/147.012.607
;148.004.002;Lixeira Basculante - Branca 14L;3;Lixeira Basculante;Tipping Bin;Papelera con volquete;14.0;L;1;29.0;43.0;24.0;ATX,BRA,TBA,HIG,FCL,RCL;LIXO,COZI,BANH;nitron.com.br/p/148.004.002
;148.004.003;Lixeira Basculante - Preta 14L;3;Lixeira Basculante;Tipping Bin;Papelera basculante;14.0;L;1;29.0;43.0;24.0;BRA,TBA,HIG,FCL,RCL;LIXO,COZI,BANH;nitron.com.br/p/148.004.003
;149.024.001;Caçarola Legumix Micro-ondas - Transparente 2,6L (149);3;Caçarola Legumix Micro-ondas;Microwave Legumix Casserole;Cazuela para Microondas Legumix;2.6;L;1;26.5;15.2;22.0;BPA,ATX,BRA,MIC,LAV,TRP;SOBR,FRIO,COZI;nitron.com.br/p/149.024.001
;150.004.002;Lixeira com Pedal - Branca 16L (150/B);3;Lixeira com Pedal;Pedal Bin;Papelera con Pedal;16.0;L;1;29.7;36.3;29.7;BRA,PED,HIG,FCL,RCL;LIXO,COZI,BANH;nitron.com.br/p/150.004.002
;150.004.003;Lixeira com Pedal - Preta 16L (150/B);3;Lixeira com Pedal;Pedal Bin;Papelera con Pedal;16.0;L;1;29.7;36.3;29.7;BRA,PED,HIG,FCL,RCL;PET,LIXO,COZI,BANH;nitron.com.br/p/150.004.003
;151.012.001;Pote Alto com Travas - Transparente 4,3L;3;Pote Alto com Travas;Tall container with Locks;Recipientes Alta con Cerraduras;4.3;L;1;26.0;14.0;18.0;BPA,ATX,BRA,HER,LAV,EMP;GRAO,MASS,MANT,CAFE,ACUC,FARI;nitron.com.br/p/151.012.001
;151.012.003;Pote Alto com Travas - Preto 4,3L;3;Pote Alto com Travas;Tall container with Locks;Recipientes Alta con Cerraduras;4.3;L;1;26.0;14.0;18.0;BPA,ATX,BRA,HER,LAV,EMP;MANT,GRAO,CAFE,ACUC,FARI,MASS;nitron.com.br/p/151.012.003
;152.006.002;Kit Mantimentos com 5 Peças - Branco;3;Kit Mantimentos com 5 Peças;5-Piece Grocery Kit;Kit de Comestibles con 5 Piezas;;;5;23.0;22.5;23.0;BPA,ATX,BRA,LAV,EMP;MANT,GRAO,CAFE,ACUC,FARI,MASS;nitron.com.br/p/152.006.002
;152.006.003;Kit Mantimentos com 5 Peças - Preto (152);3;Kit Mantimentos com 5 Peças;5-Piece Grocery Kit;Kit de Comestibles con 5 Piezas;;;5;23.0;22.5;23.0;BPA,ATX,BRA,LAV,EMP;MANT,GRAO,CAFE,ACUC,FARI,MASS;nitron.com.br/p/152.006.003
;153.012.002;Jarra com Tampa Flip Top - Branco 2L;3;Jarra com Tampa Flip Top;Jug with Flip Top Lid;Tarro con tapa abatible;2.0;L;1;18.4;21.5;10.0;BPA,ATX,BRA,LAV;BEBI,COZI;nitron.com.br/p/153.012.002
;153.012.546;Jarra com Tampa Flip Top - Vermelho 2L;3;Jarra com Tampa Flip Top;Jug with Flip Top Lid;Tarro con tapa abatible;2.0;L;1;18.4;21.5;10.0;BPA,ATX,BRA,LAV;BEBI,COZI;nitron.com.br/p/153.012.546
;154.006.861;Kit Pote Alto Coloratto com 2 Peças - 460ml (286/K);2;Kit Pote Alto Coloratto com 2 Pçs;Coloratto Tall container Kit w/ 2 pcs;Coloratto Kit de Recipiente Alta c/ 2 pzs;460.0;ML;2;14.0;14.0;10.0;BPA,ATX,BRA,HER;SOBR,MANT,FRIO,MASS;nitron.com.br/p/154.006.861
;154.012.001;Pote Alto com Travas - Transparente 460ml;2;Pote Alto com Travas;Tall container with Locks;Recipientes Alta con Cerraduras;460.0;ML;1;14.0;7.0;10.0;BPA,ATX,BRA,HER;MANT,GRAO,CAFE,ACUC;nitron.com.br/p/154.012.001
;154.012.003;Pote Alto com Travas - Preto 460ml;2;Pote Alto com Travas;Tall container with Locks;Recipientes Alta con Cerraduras;460.0;ML;1;14.0;7.0;10.0;BPA,ATX,BRA,HER;MANT,GRAO,CAFE,ACUC;nitron.com.br/p/154.012.003
