REFERENCIA;EAN;CATEGORIA;LAYOUT;PORQUE ESTE LAYOUT;NOME NA ORIGEM;NOME PT PROPOSTO;CARACTERES;LIMITE;ABREVIATURAS APLICADAS;SELOS COM EVIDENCIA NO TEXTO;SELOS CORTADOS PELO LIMITE;APLICACOES CORTADAS;ALERTAS
129.012.002;7896779612949;Cozinha;2;face 126 cm2;Porta Talheres Stillo com 4 Divisórias - Branco;Porta Talheres Stillo com 4 Div.;32;34;Divisórias>Div.;;;;SEM CAPACIDADE
129.012.003;7896779612918;Cozinha;2;face 126 cm2;Porta Talheres Stillo com 4 Divisórias - Preto;Porta Talheres Stillo com 4 Div.;32;34;Divisórias>Div.;;;;SEM CAPACIDADE
130.012.002;7896779613045;Lixeiras;3;categoria Lixeiras;Lixeira Retrátil - Branca 4L (130/B);Lixeira Retrátil;16;40;;BPA,HIG;;;
130.012.003;7896779613083;Lixeiras;3;categoria Lixeiras;Lixeira Retrátil - Preta 4L;Lixeira Retrátil;16;40;;BPA,HIG;;;
131.012.002;7896779631018;Frasqueiras;4;categoria Frasqueiras;Frasqueira Medicamento - Branca 2,2L;Frasqueira Medicamento;22;44;;;;;SEM NOME EN | SEM NOME ES | SEM CAPACIDADE | SEM DESCRICAO NA ORIGEM
131.012.009;7896779631025;Frasqueiras;4;categoria Frasqueiras;Frasqueira Medicamento - Vermelha 2,2L;Frasqueira Medicamento;22;44;;;;;SEM NOME EN | SEM NOME ES | SEM CAPACIDADE | SEM DESCRICAO NA ORIGEM
132.036.683;7896779601325;Cozinha;1;face 61 cm2;Prato Unitário (132);Prato Unitário;14;28;;;LAV;;SEM CAPACIDADE | SEM DESCRICAO NA ORIGEM
133.012.002;7896779613342;Cozinha;2;face 138 cm2;Porta Detergente Rattan com Base - Branco (133/B);Porta Detergente Rattan com Base;32;34;;;;;SEM CAPACIDADE
133.012.003;7896779641338;Cozinha;2;face 138 cm2;Porta Detergente Rattan com Base - Preto (133/B);Porta Detergente Rattan com Base;32;34;;FCL;FCL;TEMP;SEM CAPACIDADE
133.012.086;7896779633203;Cozinha;2;face 138 cm2;Porta Detergente Rattan com Base - Chumbo (133/B);Porta Detergente Rattan com Base;32;34;;FCL;FCL;TEMP;SEM CAPACIDADE
134.012.002;7896779613441;Lixeiras;3;categoria Lixeiras;Lixeira Basculante Rattan - Branca 4,5L (134/B);Lixeira Basculante Rattan;25;40;;TBA,BPA,HIG;;;
134.012.003;7896779651344;Lixeiras;3;categoria Lixeiras;Lixeira Basculante Rattan - Preta 4,5L (134/B);Lixeira Basculante Rattan;25;40;;TBA,BPA,HIG;;;
134.012.086;7896779634194;Lixeiras;3;categoria Lixeiras;Lixeira Basculante Rattan - Chumbo 4,5L (134/B);Lixeira Basculante Rattan;25;40;;TBA,BPA;;;
135.024.001;7896779601356;Micro-ondas;2;face 173 cm2;Tampa para Micro-ondas - Transparente (135);Tampa para Micro-ondas;22;34;;MIC,LAV,HIG,TRP;LAV,HIG,TRP;;SEM CAPACIDADE
136.024.001;7896779601363;Micro-ondas;3;capacidade 1500 ml;Travessa Micro-ondas com Tampa - Transparente 1,5L (136);Travessa Micro-ondas com Tampa;30;40;;MIC,TRP;;;
137.012.002;7896779601370;Frasqueiras;4;categoria Frasqueiras;Frasqueira Medicamentos - Branca 2,8L (137);Frasqueira Medicamentos;23;44;;;;;
137.012.009;7896779613717;Frasqueiras;4;categoria Frasqueiras;Frasqueira Medicamentos - Vermelha 2,8L;Frasqueira Medicamentos;23;44;;;;;
138.012.001;7896779613809;Organização;4;categoria Organização;Organiza Tudo com 11 Divisórias (138);Organiza Tudo com 11 Divisórias;31;44;;BPA;;;SEM CAPACIDADE
139.012.001;7896779639144;Potes;3;capacidade 1100 ml;Pote com 3 Divisórias - Transparente 1,1L;Pote com 3 Divisórias;21;40;;TRP;;BISC,TEMP;
139.012.003;7896779613977;Potes;3;capacidade 1100 ml;Pote com 3 Divisórias - Preto 1,1L;Pote com 3 Divisórias;21;40;;;;BISC,TEMP;SEM DESCRICAO NA ORIGEM
140.012.001;7896779614042;Organização;4;categoria Organização;Estojo Multi uso - Transparente;Estojo Multi uso;16;44;;BPA,TRP;;;SEM CAPACIDADE
140.012.066;7896779666140;Organização;4;categoria Organização;Estojo Multi uso - Fumê;Estojo Multi uso;16;44;;BPA;;;SEM CAPACIDADE
142.006.002;7896779601424;Frasqueiras;4;categoria Frasqueiras;Frasqueira Medicamentos - Branca 6,2L (142);Frasqueira Medicamentos;23;44;;;;;
142.006.009;7896779614226;Frasqueiras;4;categoria Frasqueiras;Frasqueira Medicamentos - Vermelha 6,2L;Frasqueira Medicamentos;23;44;;RCL,ATX;;;
144.006.002;7896779614462;Cozinha;2;face 170 cm2;Porta Talheres com 6 Divisórias e Tampa - Branco;Porta Talheres com 6 Div. e Tampa;33;34;Divisórias>Div.;BPA,HIG;HIG;;SEM CAPACIDADE
144.006.003;7896779614455;Cozinha;2;face 170 cm2;Porta Talheres com 6 Divisórias e Tampa - Preto;Porta Talheres com 6 Div. e Tampa;33;34;Divisórias>Div.;ATX,BPA;;;SEM CAPACIDADE
146.024.001;7896779601462;Micro-ondas;2;face 108 cm2;Forma de Ovos e Omeleteira Micro-ondas (146);Forma de Ovos e Omelet. Microondas;34;34;"Micro-ondas>Microondas; Omeleteira>Omelet.";MIC;LAV;;SEM CAPACIDADE
147.012.604;7896779614721;Frasqueiras;4;categoria Frasqueiras;Frasqueira Mini - Natural 1L;Frasqueira Mini;15;44;;HIG;;;
147.012.607;7896779614738;Frasqueiras;4;categoria Frasqueiras;Frasqueira Mini - Rosa 1L;Frasqueira Mini;15;44;;;;;
148.004.002;7896779648153;Lixeiras;3;categoria Lixeiras;Lixeira Basculante - Branca 14L;Lixeira Basculante;18;40;;TBA,RCL,ATX,HIG,FCL;;;
148.004.003;7896779614868;Lixeiras;3;categoria Lixeiras;Lixeira Basculante - Preta 14L;Lixeira Basculante;18;40;;TBA,RCL,HIG;;;
149.024.001;7896779601493;Micro-ondas;3;capacidade 2600 ml;Caçarola Legumix Micro-ondas - Transparente 2,6L (149);Caçarola Legumix Micro-ondas;28;40;;MIC,TRP;;;
150.004.002;7896779615070;Lixeiras;3;categoria Lixeiras;Lixeira com Pedal - Branca 16L (150/B);Lixeira com Pedal;17;40;;PED,HIG;;;
150.004.003;7896779650101;Lixeiras;3;categoria Lixeiras;Lixeira com Pedal - Preta 16L (150/B);Lixeira com Pedal;17;40;;PED,HIG;;;
151.012.001;7896779651153;Potes;3;capacidade 4300 ml;Pote Alto com Travas - Transparente 4,3L;Pote Alto com Travas;20;40;;HER,BPA,FCL,TRP;FCL,TRP;BISC,TEMP;
151.012.003;7896779651092;Potes;3;capacidade 4300 ml;Pote Alto com Travas - Preto 4,3L;Pote Alto com Travas;20;40;;HER;;BISC,TEMP;SEM DESCRICAO NA ORIGEM
152.006.002;7896779615230;Potes;3;face 518 cm2;Kit Mantimentos com 5 Peças - Branco;Kit Mantimentos com 5 Peças;27;40;;;;BISC,TEMP;SEM CAPACIDADE
152.006.003;7896779601523;Potes;3;face 518 cm2;Kit Mantimentos com 5 Peças - Preto (152);Kit Mantimentos com 5 Peças;27;40;;;;BISC,TEMP;SEM CAPACIDADE
153.012.002;7896779615377;Jarras;3;capacidade 2000 ml;Jarra com Tampa Flip Top - Branco 2L;Jarra com Tampa Flip Top;24;40;;;;;
153.012.546;7896779653157;Jarras;3;capacidade 2000 ml;Jarra com Tampa Flip Top - Vermelho 2L;Jarra com Tampa Flip Top;24;40;;;;;
154.006.861;7896779686100;Coloratto;2;capacidade 460 ml;Kit Pote Alto Coloratto com 2 Peças - 460ml (286/K);Kit Pote Alto Coloratto com 2 Pçs;33;34;Peças>Pçs;HER,EMP,BPA,FCL;LAV,EMP,FCL;;
154.012.001;7896779615414;Potes;2;capacidade 460 ml;Pote Alto com Travas - Transparente 460ml;Pote Alto com Travas;20;34;;HER,TRP;LAV,EMP,TRP;FARI,MASS,BISC,TEMP;
154.012.003;7896779615490;Potes;2;capacidade 460 ml;Pote Alto com Travas - Preto 460ml;Pote Alto com Travas;20;34;;HER;LAV,EMP;FARI,MASS,BISC,TEMP;SEM DESCRICAO NA ORIGEM
155.006.861;7896779686131;Coloratto;2;capacidade 850 ml;Kit Pote Alto Coloratto com 2 Peças - 850 ml;Kit Pote Alto Coloratto com 2 Pçs;33;34;Peças>Pçs;LAV,BPA;EMP;;
155.012.001;7896779655144;Potes;2;capacidade 850 ml;Pote Alto com Travas - Transparente 850ml;Pote Alto com Travas;20;34;;FRZ,HER,EMP,FCL,TRP;HER,LAV,EMP,FCL,TRP;ACUC,FARI,MASS,BISC;
155.012.003;7896779615544;Potes;2;capacidade 850 ml;Pote Alto com Travas - Preto 850ml;Pote Alto com Travas;20;34;;HER;LAV,EMP;FARI,MASS,BISC,TEMP;SEM DESCRICAO NA ORIGEM
156.012.001;7896779656127;Potes;3;capacidade 2200 ml;Pote Alto com Travas - Transparente 2,2L;Pote Alto com Travas;20;40;;FRZ,HER,EMP,FCL,TRP;EMP,FCL,TRP;MASS,BISC;
156.012.003;7896779615643;Potes;3;capacidade 2200 ml;Pote Alto com Travas - Preto 2,2L;Pote Alto com Travas;20;40;;HER;;BISC,TEMP;SEM DESCRICAO NA ORIGEM
157.024.009;7896779615735;Potes;2;capacidade 850 ml;Pote Tomatinho com Travas - 850ml (157);Pote Tomatinho com Travas;25;34;;HER;LAV,EMP;FARI,MASS,BISC,TEMP;
158.024.029;7896779601585;Potes;2;capacidade 850 ml;Pote Feijão com Travas - 850ml (158);Pote Feijão com Travas;22;34;;HER;LAV,EMP;FARI,MASS,BISC,TEMP;
161.012.002;7896779616145;Organização;4;categoria Organização;Porta Tudo - Branco 1L (161/B);Porta Tudo;10;44;;;;;
161.012.003;7896779616114;Organização;4;categoria Organização;Porta Tudo - Preto 1L (161/P);Porta Tudo;10;44;;;;;
162.012.002;7896779616244;Organização;4;categoria Organização;Cesto com Alça - Branco 8,5L (162/P);Cesto com Alça;14;44;;HIG;;;
162.012.003;7896779616213;Organização;4;categoria Organização;Cesto com Alça - Preto 8,5L (162/B);Cesto com Alça;14;44;;HIG;;;
163.004.002;7896779641635;Lixeiras;3;categoria Lixeiras;Lixeira Vime - Branca 12L (163/B);Lixeira Vime;12;40;;PED,HIG;;;
163.004.003;7896779651634;Lixeiras;3;categoria Lixeiras;Lixeira Vime - Preta 12L (163/B);Lixeira Vime;12;40;;PED,HIG;;;
163.004.086;7896779663200;Lixeiras;3;categoria Lixeiras;Lixeira Vime - Chumbo 12L;Lixeira Vime;12;40;;PED,BPA,HIG;;;
164.006.001;7896779616404;Organização;4;categoria Organização;Maleta Organiza Tudo com Divisórias Móveis (164);Maleta Organiza Tudo com Divisórias Móveis;42;44;;;;;SEM CAPACIDADE
165.006.002;7896779616541;Cozinha;3;face 544 cm2;Escorredor de Pratos - Branco (165/B);Escorredor de Pratos;20;40;;;;;SEM CAPACIDADE
165.006.003;7896779616510;Cozinha;3;face 544 cm2;Escorredor de Pratos - Preto;Escorredor de Pratos;20;40;;FCL;;;SEM CAPACIDADE
165.006.086;7896779665198;Cozinha;3;face 544 cm2;Escorredor de Pratos - Chumbo (165/B);Escorredor de Pratos;20;40;;;;;SEM CAPACIDADE
166.024.001;7896779616602;Potes;2;capacidade 650 ml;Porta Biscoitos e Terradas - 650ml (166);Porta Biscoitos e Terradas;26;34;;;EMP;ACUC,FARI,MASS,TEMP;
167.010.003;7896779616756;Organização;4;categoria Organização;Cabide Still com 10 Peças - Preto;Cabide Still com 10 Peças;25;44;;;;;SEM CAPACIDADE | SEM DESCRICAO NA ORIGEM
167.012.001;7896779616749;Organização;4;categoria Organização;Cabide Still com 3 Peças - Transparente;Cabide Still com 3 Peças;24;44;;TRP;;;SEM CAPACIDADE
169.012.002;7896779616923;Cozinha;3;face 403 cm2;Boleira Barcelona com Alça - Branca;Boleira Barcelona com Alça;26;40;;;;;SEM CAPACIDADE | DIMENSAO E DIAMETRO
169.012.003;7896779616954;Cozinha;3;face 403 cm2;Boleira Barcelona com Alça - Preto;Boleira Barcelona com Alça;26;40;;;;;SEM CAPACIDADE | DIMENSAO E DIAMETRO
170.006.027;7896779617043;Organização;4;categoria Organização;Caixa de Ferramentas Nitronfort - Amarela 16L;Caixa de Ferramentas Nitronfort;31;44;;;;;
170.006.028;7896779601707;Organização;4;categoria Organização;Caixa de Ferramentas Nitronfort - Laranja 16L (170);Caixa de Ferramentas Nitronfort;31;44;;;;;
170.006.045;7896779670109;Organização;4;categoria Organização;Caixa de Ferramentas Nitronfort - Azul 16L;Caixa de Ferramentas Nitronfort;31;44;;;;;
172.012.998;7896779617241;Limpeza;3;face 1638 cm2;Pá de Lixo com Cabo;Pá de Lixo com Cabo;19;40;;;;;SEM NOME EN | SEM NOME ES | SEM CAPACIDADE | SEM DESCRICAO NA ORIGEM
172.012.999;7896779617203;Limpeza;3;face 1638 cm2;Pá de Lixo com Cabo (172);Pá de Lixo com Cabo;19;40;;;;;SEM CAPACIDADE
173.012.002;7896779617340;Lixeiras;3;categoria Lixeiras;Lixeira Fenix - Branca 4,2L (173/B);Lixeira Fenix;13;40;;TBA,HIG;;;DIMENSAO E DIAMETRO
173.012.003;7896779617357;Lixeiras;3;categoria Lixeiras;Lixeira Fenix - Preta 4,2L;Lixeira Fenix;13;40;;TBA,HIG,FCL;;;DIMENSAO E DIAMETRO
176.024.001;7896779617609;Potes;2;capacidade 600 ml;Pote com Válvula e Travas - 600ml (176);Pote com Válvula e Travas;25;34;;VLV;LAV,EMP;FARI,MASS,BISC,TEMP;
177.012.002;7896779617746;Organização;4;categoria Organização;Cesto com Alça - Branco 5L (177/B);Cesto com Alça;14;44;;;;;
177.012.003;7896779617715;Organização;4;categoria Organização;Cesto com Alça - Preto 5L (177/P);Cesto com Alça;14;44;;;;;
178.024.001;7896779617807;Micro-ondas;3;capacidade 1500 ml;Caçarola Micro-ondas - Transparente 1,5L (178);Caçarola Micro-ondas;20;40;;MIC,TRP;;;
179.024.001;7896779617906;Cozinha;3;capacidade 1100 ml;Porta Frios com Pinça - 1,1L (179);Porta Frios com Pinça;21;40;;BPA,HIG;;;
182.012.002;7896779618231;Jarras;3;capacidade 4000 ml;Jarra com Tampa Flip Top - Branco 4L;Jarra com Tampa Flip Top;24;40;;;;;
182.012.546;7896779682157;Jarras;3;capacidade 4000 ml;Jarra com Tampa Flip Top - Vermelho 4L;Jarra com Tampa Flip Top;24;40;;;;;
184.010.003;7896779618453;Organização;4;categoria Organização;Cabide com 10 Peças - Preto;Cabide com 10 Peças;19;44;;;;;SEM CAPACIDADE | SEM DESCRICAO NA ORIGEM
184.016.001;7896779618446;Organização;4;categoria Organização;Cabide com 3 Peças - Transparente;Cabide com 3 Peças;18;44;;TRP;;;SEM CAPACIDADE
185.012.002;7896779618545;Limpeza;2;face 170 cm2;Porta Vassouras com 9 Posições - Branco (185/B);Porta Vassouras com 9 Posições;30;34;;BPA;RCL;BANH;SEM CAPACIDADE
185.012.003;7896779618514;Limpeza;2;face 170 cm2;Porta Vassouras com 9 Posições - Preto (185/P);Porta Vassouras com 9 Posições;30;34;;;;;SEM CAPACIDADE
186.006.002;7896779618606;Frasqueiras;4;categoria Frasqueiras;Frasqueira Medicamentos Mega Luxo - Branca 12L (186);Frasqueira Medicamentos Mega Luxo;33;44;;;;;
186.006.009;7896779686940;Frasqueiras;4;categoria Frasqueiras;Frasqueira Medicamentos Mega Luxo - Vermelha 12L;Frasqueira Medicamentos Mega Luxo;33;44;;BPA;;;
187.006.001;7896779618705;Organização;4;categoria Organização;Organiza Tudo com Divisórias Móveis (187);Organiza Tudo com Divisórias Móveis;35;44;;;;;SEM CAPACIDADE
188.012.002;7896779618842;Cozinha;3;face 378 cm2;Escorredor de Pratos Super Prático - Branco (188/B);Escorredor de Pratos Super Prático;34;40;;;;;SEM CAPACIDADE
188.012.003;7896779618811;Cozinha;3;face 378 cm2;Escorredor de Pratos Super Prático - Preto (188/B);Escorredor de Pratos Super Prático;34;40;;;;;SEM CAPACIDADE
188.012.086;7896779688203;Cozinha;3;face 378 cm2;Escorredor de Pratos Super Prático - Chumbo (188/B);Escorredor de Pratos Super Prático;34;40;;;;;SEM CAPACIDADE
190.012.001;7896779619009;Potes;3;face 453 cm2;Kit Potes Altos com Travas e 3 Peças - Transparente (190);Kit Potes Altos com Travas e 3 Peças;36;40;;HER,TRP;TRP;BISC,TEMP;SEM CAPACIDADE
190.012.003;7896779619092;Potes;3;face 453 cm2;Kit Potes Altos com Travas e 3 Peças - Preto;Kit Potes Altos com Travas e 3 Peças;36;40;;HER;;BISC,TEMP;SEM CAPACIDADE | SEM DESCRICAO NA ORIGEM
191.012.001;7896779691142;Potes;2;capacidade 720 ml;Pote com 2 Divisórias - Transparente 720ml;Pote com 2 Divisórias;21;34;;TRP;EMP,TRP;FARI,MASS,BISC,TEMP;DIMENSAO E DIAMETRO
191.012.003;7896779691166;Potes;2;capacidade 720 ml;Pote com 2 Divisórias - Preto 720ml;Pote com 2 Divisórias;21;34;;;EMP;FARI,MASS,BISC,TEMP;DIMENSAO E DIAMETRO | SEM DESCRICAO NA ORIGEM
193.024.001;7896779693153;Banheiro;1;face 45 cm2;Saboneteira com Telinha - Transparente;Saboneteira com Telinha;23;28;;HIG,TRP;TRP,RCL;;SEM CAPACIDADE
193.024.066;7896779619320;Banheiro;1;face 45 cm2;Saboneteira com Telinha - Fumê;Saboneteira com Telinha;23;28;;HIG;RCL;;SEM CAPACIDADE
194.012.009;7896779619405;Micro-ondas;3;capacidade 2600 ml;Caçarola Legumix Micro-ondas com Cesto - Transparente 2,6L (194);Caçarola Legumix Micro-ondas com Cesto;38;40;;MIC,ATX,BPA,TRP;;;
195.006.012;7896779619535;Frasqueiras;4;categoria Frasqueiras;Frasqueira Cristal com Divisórias - Rosa 1,5L;Frasqueira Cristal com Divisórias;33;44;;HIG,FCL,TRP;;;
195.006.609;7896779619511;Frasqueiras;4;categoria Frasqueiras;Frasqueira Cristal com Divisórias - Preto 1,5L;Frasqueira Cristal com Divisórias;33;44;;HIG,FCL,TRP;;;
196.006.001;7896779696116;Potes;3;capacidade 7900 ml;Pote Premium - Transparente 7,9L;Pote Premium;12;40;;TRP;;BISC,TEMP;
197.024.010;7896779619702;Potes;2;capacidade 600 ml;Marmita Due com Divisória Móvel - 600ml (197);Marmita Due com Divisória Móvel;31;34;;;EMP;ACUC,FARI,MASS,BISC,TEMP;SEM DESCRICAO NA ORIGEM
198.012.001;7896779619849;Organização;4;categoria Organização;Estojo Super Prático - Transparente;Estojo Super Prático;20;44;;BPA,TRP;;;SEM CAPACIDADE
198.012.066;7896779619856;Organização;4;categoria Organização;Estojo Super Prático - Fumê;Estojo Super Prático;20;44;;BPA;;;SEM CAPACIDADE
199.006.001;7896779619900;Organização;4;categoria Organização;Caixa Organizadora Nitronbox - Transparente 27L;Caixa Organizadora Nitronbox;28;44;;TRP;;;
200.004.001;7896779692002;Organização;4;categoria Organização;Caixa Organizadora Nitronbox - Transparente 50L;Caixa Organizadora Nitronbox;28;44;;TRP;;;
202.006.001;7896779620296;Frasqueiras;4;categoria Frasqueiras;Frasqueira Oval com Bandeja - Rosa;Frasqueira Oval com Bandeja;27;44;;;;;SEM DESCRICAO NA ORIGEM
202.006.002;7896779620234;Frasqueiras;4;categoria Frasqueiras;Frasqueira Medicamentos Oval com Bandeja - Branca 4,4L;Frasqueira Medicamentos Oval com Bandeja;40;44;;;;;
202.006.009;7896779620241;Frasqueiras;4;categoria Frasqueiras;Frasqueira Medicamentos Oval com Bandeja - Vermelha 4,4L;Frasqueira Medicamentos Oval com Bandeja;40;44;;;;;
202.006.012;7896779620227;Frasqueiras;4;categoria Frasqueiras;Frasqueira Oval com Bandeja - Rosa;Frasqueira Oval com Bandeja;27;44;;;;;
203.006.003;7896779620326;Potes;3;capacidade 4000 ml;Pote Ultraforte com Tela e Travas - Preto 4L;Pote Ultraforte com Tela e Travas;33;40;;;;BISC,TEMP;
205.006.861;7896779685127;Coloratto;2;capacidade 450 ml;Kit Pote Fit Coloratto com 2 Peças - 450ml (285/K);Kit Pote Fit Coloratto com 2 Peças;34;34;;;EMP;;
205.006.862;7896779629039;Coloratto;2;capacidade 450 ml;Kit Pote Fit Coloratto com 3 Peças - 450ml (290/K);Kit Pote Fit Coloratto com 3 Peças;34;34;;;EMP;;
205.006.P01;7896779650057;POP;2;capacidade 450 ml;Kit POP com 6 Potes Fits - Transparente 450ml;Kit POP com 6 Potes Fits;24;34;;TRP;EMP,TRP;FARI,MASS;SEM DESCRICAO NA ORIGEM
205.012.001;7896779620517;Potes;2;capacidade 450 ml;Pote Retangular Fit - Transparente 450ml;Pote Retangular Fit;19;34;;TRP;EMP,TRP;FARI,MASS,BISC,TEMP;
205.012.003;7896779620593;Potes;2;capacidade 450 ml;Pote Retangular Fit - Preto 450ml;Pote Retangular Fit;19;34;;;EMP;FARI,MASS,BISC,TEMP;SEM DESCRICAO NA ORIGEM
207.012.002;7896779620746;Jarras;2;capacidade 850 ml;Jarra Medidora Top Mix - Branco 850ml;Jarra Medidora Top Mix;22;34;;;;;
207.012.547;7896779620715;Jarras;2;capacidade 850 ml;Jarra Medidora Top Mix - Vermelho 850ml;Jarra Medidora Top Mix;22;34;;;;;
207.024.001;7896779602070;Jarras;2;capacidade 850 ml;Jarra Medidora Top Mix - Transparente 850ml;Jarra Medidora Top Mix;22;34;;TRP;TRP;;SEM DESCRICAO NA ORIGEM
209.012.003;7896779620913;Potes;2;capacidade 715 ml;Marmita com Porta Talheres - Preto 715ml;Marmita com Porta Talheres;26;34;;MIC,FRZ,HER,LAV,HIG;FRZ,HER,LAV,EMP,HIG;ACUC,FARI,MASS,BISC,TEMP;
211.012.002;7896779621170;Banheiro;3;face 801 cm2;Cantoneira para banheiro Smart - Brancp (211/B);Cantoneira para banheiro Smart;30;40;;;;;SEM CAPACIDADE
211.012.003;7896779621163;Banheiro;3;face 801 cm2;Cantoneira para banheiro Smart - Preto (211/B);Cantoneira para banheiro Smart;30;40;;;;;SEM CAPACIDADE
212.012.003;7896779621217;Potes;2;capacidade 600 ml;Pote com Travas e 2 Divisórias - Preto 600ml;Pote com Travas e 2 Divisórias;30;34;;MIC,FRZ,HER,LAV;FRZ,HER,LAV,EMP;FARI,MASS,BISC,TEMP;
214.006.002;7896779621446;Organização;4;categoria Organização;Organizador Multiuso Rattan com 6 Divisórias - Branco (214/B);Organizador Multiuso Rattan com 6 Divisórias;44;44;;;;;SEM CAPACIDADE
214.006.003;7896779621415;Organização;4;categoria Organização;Organizador Multiuso Rattan com 6 Divisórias - Preto (214/B);Organizador Multiuso Rattan com 6 Divisórias;44;44;;;;;SEM CAPACIDADE
214.006.086;7896779614202;Organização;4;categoria Organização;Organizador Multiuso Rattan com 6 Divisórias - Chumbo;Organizador Multiuso Rattan com 6 Divisórias;44;44;;;;;SEM CAPACIDADE
215.012.003;7896779621514;Potes;3;capacidade 2100 ml;Pote Ultraforte com Travas - Preto 2,1L;Pote Ultraforte com Travas;26;40;;HER;;BISC,TEMP;
216.012.003;7896779616039;Potes;3;capacidade 4000 ml;Pote Ultraforte com Travas - Preto 4L;Pote Ultraforte com Travas;26;40;;MIC,HER,LAV,BPA;EMP;BISC,TEMP;
217.012.003;7896779621729;Potes;3;capacidade 6900 ml;Pote Ultraforte com Travas - Preto 6,9L;Pote Ultraforte com Travas;26;40;;MIC,HER,LAV,BPA;EMP;BISC,TEMP;
219.006.563;7896779621941;Frasqueiras;4;categoria Frasqueiras;Frasqueira Rattan - Rosa 9,4L;Frasqueira Rattan;17;44;;HIG;;;
221.012.002;7896779621071;Cozinha;2;face 205 cm2;Saleiro Premier com Alça - Transparente e Branco 1 Kg;Saleiro Premier com Alça;24;34;;TRP;TRP;;
221.012.003;7896779610082;Cozinha;2;face 205 cm2;Saleiro Premier com Alça - Transparente e Preto 1 Kg;Saleiro Premier com Alça;24;34;;TRP;TRP;;
222.012.002;7896779627219;Jarras;3;capacidade 1400 ml;Jarra com Tampa Flip Top - Branco 1,4L;Jarra com Tampa Flip Top;24;40;;;;;
222.012.546;7896779622269;Jarras;3;capacidade 1400 ml;Jarra com Tampa Flip Top - Vermelho 1,4L;Jarra com Tampa Flip Top;24;40;;;;;
2231.024.009;7896779622313;Cozinha;3;capacidade 1400 ml;Porta Frios com Tela;Porta Frios com Tela;20;40;;;;;
2232.012.009;7896779622320;Cozinha;3;capacidade 2800 ml;Porta Frios Duplo com Tela;Porta Frios Duplo com Tela;26;40;;;;;
224.012.002;7896779622474;Cozinha;3;face 444 cm2;Porta Talher Escorre e Guarda - Branco;Porta Talher Escorre e Guarda;29;40;;HIG,FCL;;;SEM CAPACIDADE
224.012.003;7896779624126;Cozinha;3;face 444 cm2;Porta Talher Escorre e Guarda - Preto;Porta Talher Escorre e Guarda;29;40;;HIG,FCL;;;SEM CAPACIDADE
224.012.086;7896779624201;Cozinha;3;face 444 cm2;Porta Talher Escorre e Guarda - Chumbo;Porta Talher Escorre e Guarda;29;40;;HIG;;;SEM CAPACIDADE
227.036.998;7896779622795;Infantil;2;face 134 cm2;Copo Infantil com Alça - Sortido 320ml;Copo Infantil com Alça;22;34;;;;;SEM NOME EN | SEM NOME ES | SEM CAPACIDADE | SEM DESCRICAO NA ORIGEM
227.036.999;7896779602278;Infantil;1;capacidade 320 ml;Copo Infantil com Alça - Sortido 320ml (227);Copo Infantil com Alça;22;28;;MIC,FRZ,LAV,BPA;MIC,FRZ,LAV;;
2270.012.001;7896779627127;Potes;3;capacidade 2300 ml;Pote Redondo com Travas - Transparente 2,3L (022/7);Pote Redondo com Travas;23;40;;HER,EMP,HIG,TRP;HIG,TRP;ACUC,FARI,MASS,BISC,TEMP;
2270.012.003;7896779627165;Potes;3;capacidade 2300 ml;Pote Redondo com Travas - Preto 2,3L;Pote Redondo com Travas;23;40;;HER;;BISC,TEMP;SEM DESCRICAO NA ORIGEM
228.012.003;7896779622832;Potes;3;capacidade 1100 ml;Pote com Travas Laterais - Preto 1,1L;Pote com Travas Laterais;24;40;;HER;;BISC,TEMP;
2280.012.001;7896779622818;Potes;3;capacidade 1100 ml;Pote Redondo com Travas - Transparente 1,1L (022/8);Pote Redondo com Travas;23;40;;HER,BPA,TRP;TRP;BISC,TEMP;
2280.012.003;7896779622870;Potes;3;capacidade 1100 ml;Pote Redondo com Travas - Preto 1,1L;Pote Redondo com Travas;23;40;;HER;;BISC,TEMP;SEM DESCRICAO NA ORIGEM
229.012.001;7896779602292;Micro-ondas;3;capacidade 3000 ml;Cook Freezer Micro-ondas com Cesto - Transparente 3L (229);Cook Freezer Micro-ondas com Cesto;34;40;;MIC,FRZ,TRP;TRP;;
2290.006.862;7896779630417;Coloratto;2;capacidade 450 ml;Kit Pote Redondo Coloratto com 3 Peças - 450ml (304/K);Kit Pote Redondo Coloratto c/ 3 Pçs;35;34;"Peças>Pçs; com>c/";MIC,FRZ,ATX,BPA;FRZ,LAV,EMP;;NOME PT EXCEDE LIMITE (35>34)
2290.012.001;7896779629145;Potes;2;capacidade 450 ml;Pote Redondo com Travas - Transparente 450ml (022/9);Pote Redondo com Travas;23;34;;HER,TRP;LAV,EMP,TRP;FARI,MASS,BISC,TEMP;
2290.012.003;7896779622931;Potes;2;capacidade 450 ml;Pote Redondo com Travas - Preto 450ml;Pote Redondo com Travas;23;34;;HER;LAV,EMP;FARI,MASS,BISC,TEMP;SEM DESCRICAO NA ORIGEM
