modulo,prateleira,altura_face_mm,zona,ordem_na_prateleira,referencia,nome,categoria,frente_mm,profundidade_min_mm,faturamento_12m,clientes
16,6,1409,olhos,1,246.024.001,Pote Alto com Válvula,POTES,120,285,79316.29,375
16,6,1409,olhos,2,2570.012.001,Pote Alto Retangular,POTES,210,372,164887.93,456
16,6,1409,olhos,3,2570.012.003,Pote Alto Retangular,POTES,210,372,25730.86,109
16,6,1409,olhos,4,819.012.001,"Pote Alto Com Valvula - Transparente 4,6L",POTES,210,372,159834.31,302
16,7,1671,olhos,1,034.012.001,Pote Mônaco com 3 Divisórias,POTES,190,285,244281.34,712
16,7,1671,olhos,2,034.012.003,Pote Mônaco com 3 Divisórias,POTES,190,285,5421.13,31
16,7,1671,olhos,3,155.012.001,Pote Alto com Travas,POTES,110,285,227906.2,945
16,7,1671,olhos,4,155.006.861,Kit Pote Alto Coloratto Com 2 Pecas - 850 Ml,POTES,110,285,13920.07,108
16,7,1671,olhos,5,155.012.003,Pote Alto com Travas,POTES,110,285,12062.91,104
17,4,886,maos,1,124.012.003,Com Bandeja e Talheres,POTES,125,285,30854.7,158
17,4,886,maos,2,176.024.001,Marmita Due c/ Div Móvel,POTES,119,285,31796.35,156
17,4,886,maos,3,320.012.001,Pote Modular - Transparente 450Ml,POTES,93,285,31523.11,242
17,4,886,maos,4,320.012.003,Pote Modular - Preto 450Ml,POTES,145,285,2566.8,39
17,4,886,maos,5,555.012.001,Pote com Tampa Fixa,POTES,105,285,30080.38,327
17,4,886,maos,6,555.012.003,Pote com Tampa Fixa,POTES,105,285,5117.28,60
17,5,1148,maos,1,311.012.517,Marmita e Pote 2 em 1,POTES,125,285,40540.93,183
17,5,1148,maos,2,311.012.515,Marmita e Pote 2 em 1,POTES,125,285,33267.18,124
17,5,1148,maos,3,311.012.002,Marmita e Pote 2 em 1,POTES,125,285,14889.18,142
17,5,1148,maos,4,311.012.001,Marmita e Pote 2 em 1,POTES,125,285,8754.72,67
17,5,1148,maos,5,3840.016.003,Kit Pote Café e Açúcar,POTES,183,285,82918.9,140
17,6,1409,olhos,1,249.012.020,Pote Temperos Acoplado Com Rosca - 500Ml (249),POTES,118,285,63895.87,335
17,6,1409,olhos,2,3760.012.001,Pote Quadrado com Travas,POTES,240,285,179756.96,406
17,6,1409,olhos,3,3760.012.003,Pote Quadrado com Travas,POTES,240,285,3724.32,23
17,6,1409,olhos,4,3820.016.644,Kit Pote Café e Açúcar,POTES,156,285,146163.07,546
17,7,1671,olhos,1,105.024.003,Marmita Bom Apetite Com Bandeija E Valvula - Preto 800Ml,POTES,127,285,248640.09,414
17,7,1671,olhos,2,242.024.001,Pote Raso com Válvula,POTES,150,285,213170.68,563
17,7,1671,olhos,3,243.024.001,"Pote Raso Com Valvula - 1,9L (243)",POTES,185,372,231692.59,490
17,7,1671,olhos,4,362.012.003,Pote Acucar Acoplado Com Rosca - 2L,POTES,140,285,248403.06,1001
17,7,1671,olhos,5,363.012.003,Pote Cafe Acoplado Com Rosca - 2L,POTES,140,285,247062.72,710
18,4,886,maos,1,683.004.M00,Base Teca com 2 Molheiras,TECA,88,285,2288.88,32
18,4,886,maos,2,685.004.M00,Tábua de Servir Teca com 1 Molheira,TECA,230,285,2923.86,21
18,5,1148,maos,1,390.012.M00,Tábua com Cabo Teca  P,TECA,150,285,10220.86,27
18,5,1148,maos,2,507.004.M03,Teca com Gaveta,TECA,257,372,64622.1,36
18,6,1409,olhos,1,256.006.M03,Caixa Juta Alongada com Tampa Teca,TECA,102,285,50486.31,86
18,6,1409,olhos,2,256.006.M02,Caixa Juta Alongada com Tampa Teca,TECA,102,285,44972.78,69
18,6,1409,olhos,3,385.006.M00,Tábua de Corte Teca M,TECA,230,372,45943.14,95
18,7,1671,olhos,1,258.004.M03,Caixa Juta Alongada com Tampa Teca,TECA,165,372,116201.21,91
18,7,1671,olhos,2,258.004.M02,Caixa Juta Alongada com Tampa Teca,TECA,165,372,95044.61,75
18,7,1671,olhos,3,682.004.M00,Base Teca com 3 Molheiras,TECA,88,285,4229.52,40
19,5,1148,maos,1,268.006.M02,Caixa Juta Europa com Tampa Teca,TECA,204,285,36260.8,44
19,5,1148,maos,2,686.004.M00,Tábua de Servir Teca Com 3 Molheiras,TECA,210,372,11504.17,39
19,6,1409,olhos,1,391.006.M00,Tábua com Cabo Teca M,TECA,180,372,27065.32,60
19,6,1409,olhos,2,680.004.M00,Boleira Teca Com Acrílico,TECA,255,285,66879.17,105
19,7,1671,olhos,1,257.006.M03,Caixa Juta Alongada com Tampa Teca,TECA,133,285,98395.97,98
19,7,1671,olhos,2,257.006.M02,Caixa Juta Alongada com Tampa Teca,TECA,133,285,89490.58,95
19,7,1671,olhos,3,681.004.M00,Queijeira Teca com Acrílico,TECA,165,285,38060.09,102
