referencia;achou;codprod;descrprod;ativo;codgrupoprod;nomegrupo;largura;altura;espessura;usomarcaprop;veredito_artefato;obs_artefato
152.006.002;S;11997;KIT MANTIMENTOS COM 5 PECAS - BRANCO;S;1000200;Linha Potes;23.00;22.50;23.00;S;ok;
152.006.003;S;81;KIT MANTIMENTOS COM 5 PECAS - PRETO (152);S;1000200;Linha Potes;23.00;22.50;23.00;S;ok;
153.012.002;S;9615;JARRA COM TAMPA FLIP TOP - BRANCO 2L;S;1001100;Linha Jarras;10.00;21.50;18.40;S;ok;
153.012.546;S;4146;JARRA COM TAMPA FLIP TOP - VERMELHO 2L;S;1001100;Linha Jarras;10.00;21.50;18.40;S;ok;
154.006.861;S;3612;KIT POTE ALTO COLORATTO COM 2 PECAS - 460ML (286/K);S;1001200;Linha Coloratto;10.00;14.00;14.00;S;ok;
154.012.001;S;4147;POTE ALTO COM TRAVAS - TRANSPARENTE 460ML;S;1000200;Linha Potes;10.00;7.00;14.00;S;ok;
154.012.003;S;13822;POTE ALTO COM TRAVAS - PRETO 460ML;S;1000200;Linha Potes;10.00;7.00;14.00;S;ok;
155.006.861;S;12035;KIT POTE ALTO COLORATTO COM 2 PECAS - 850 ML;S;1001200;Linha Coloratto;11.00;18.00;17.00;S;ok;
155.012.001;S;4150;POTE ALTO COM TRAVAS - TRANSPARENTE 850ML;S;1000200;Linha Potes;11.00;9.00;17.00;S;ok;
155.012.003;S;13979;POTE ALTO COM TRAVAS - PRETO 850ML;S;1000200;Linha Potes;11.00;9.00;17.00;S;ok;
156.012.001;S;4155;POTE ALTO COM TRAVAS - TRANSPARENTE 2,2L;S;1000200;Linha Potes;14.00;12.00;22.00;S;ok;
156.012.003;S;13983;POTE ALTO COM TRAVAS - PRETO 2,2L;S;1000200;Linha Potes;14.00;12.00;22.00;S;ok;
157.024.009;S;85;POTE TOMATINHO COM TRAVAS - 850ML (157);S;1000200;Linha Potes;11.00;8.50;17.00;S;ok;
158.024.029;S;86;POTE FEIJAO COM TRAVAS - 850ML (158);S;1000200;Linha Potes;11.00;8.50;17.00;S;ok;
161.012.002;S;3322;PORTA TUDO - BRANCO 1L (161/B);S;1000600;Linha Organização;13.90;9.80;23.00;S;ok;
161.012.0031;N;;;;;;;;;;artefato_provavel;digito extra na cor - 161.012.003 existe (CODPROD 3323 PORTA TUDO PRETO 1L)
162.012.002;S;3325;CESTO COM ALCA - BRANCO 8,5L (162/B);S;1000600;Linha Organização;24.40;14.80;36.80;S;ok;
162.012.003;S;3269;CESTO COM ALCA - PRETO 8,5L (162/P);S;1000600;Linha Organização;24.40;14.80;36.80;S;ok;
163.004.002;S;447;LIXEIRA VIME - BRANCA 12L (163/B);S;1000700;Linha Lixeiras;23.20;32.00;27.00;S;ok;
163.004.003;S;451;LIXEIRA VIME - PRETA 12L (163/P);S;1000700;Linha Lixeiras;27.00;32.00;23.20;S;ok;
163.004.086;S;11871;LIXEIRA VIME - CHUMBO 12L;S;1000700;Linha Lixeiras;23.20;32.00;27.00;S;ok;
164.006.001;S;265;MALETA ORGANIZA TUDO COM DIVISORIAS MOVEIS (164);S;1000600;Linha Organização;29.60;5.00;38.70;S;ok;
165.006.002;S;3327;ESCORREDOR DE PRATOS - BRANCO (165/B);S;1000100;Linha Cozinha;35.50;11.10;49.00;S;ok;
165.006.003;S;3328;ESCORREDOR DE PRATOS - PRETO (165/P);S;1000100;Linha Cozinha;49.00;11.10;35.50;S;ok;
165.006.086;S;11872;ESCORREDOR DE PRATOS  - CHUMBO;S;1000100;Linha Cozinha;49.00;11.10;35.50;S;ok;
166.024.001;S;171;PORTA BISCOITOS E TORRADAS - 650ML (166);S;1000200;Linha Potes;9.10;8.90;23.10;S;ok;
167.010.003;S;14006;CABIDE STILL COM 10 PECAS - PRETO;S;1000600;Linha Organização;0.70;19.50;39.00;S;ok;
167.012.001;S;7189;CABIDE STILL COM 3 PECAS - TRANSPARENTE;S;1000600;Linha Organização;0.70;19.50;39.00;S;ok;
169.012.002;S;6611;BOLEIRA BARCELONA COM ALCA - BRANCA;S;1000100;Linha Cozinha;30.50;13.20;30.50;S;ok;
169.012.003;S;6612;BOLEIRA BARCELONA COM ALCA - PRETO;S;1000100;Linha Cozinha;30.50;13.20;30.50;S;ok;
170.006.027;S;6718;CAIXA DE FERRAMENTAS NITRONFORT - AMARELA 16L;S;1000600;Linha Organização;22.30;18.30;40.30;S;ok;
170.006.028;S;266;CAIXA DE FERRAMENTAS NITRONFORT - LARANJA 16L (170);S;1000600;Linha Organização;22.30;18.30;40.30;S;ok;
170.006.045;S;6719;CAIXA DE FERRAMENTAS NITRONFORT - AZUL 16L;S;1000600;Linha Organização;22.30;18.30;40.30;S;ok;
172.012.998;S;14018;PA DE LIXO COM CABO;S;1000300;Linha Limpeza;18.00;66.60;24.60;S;ok;
172.012.999;S;268;PA DE LIXO COM CABO (172);S;1000300;Linha Limpeza;18.00;66.60;24.60;S;ok;
173.012.002;S;3331;LIXEIRA FENIX - BRANCA 4,2L (173/B);S;1000700;Linha Lixeiras;20.00;29.20;20.00;S;ok;
173.012.003;S;7135;LIXEIRA FENIX - PRETA 4,2L;S;1000700;Linha Lixeiras;20.00;29.20;20.00;S;ok;
176.024.001;S;172;POTE COM VALVULA E TRAVAS - 600ML (176);S;1000200;Linha Potes;11.90;5.70;14.80;S;ok;
177.012.002;S;3334;CESTO COM ALCA - BRANCO 5L (177/B);S;1000600;Linha Organização;19.30;13.50;28.00;S;ok;
177.012.003;S;3335;CESTO COM ALCA - PRETO 5L (177/P);S;1000600;Linha Organização;19.30;13.50;28.00;S;ok;
178.024.001;S;183;CACAROLA MICRO-ONDAS - TRANSPARENTE 1,5L (178);S;1000400;Linha Micro-ondas;17.50;10.00;20.50;S;ok;
179.024.001;S;212;PORTA FRIOS COM PINCA - 1,1L (179);S;1000100;Linha Cozinha;17.50;5.30;26.20;S;ok;
182.012.002;S;9616;JARRA COM TAMPA FLIP TOP - BRANCO 4L;S;1001100;Linha Jarras;12.40;26.70;23.00;S;ok;
182.012.546;S;4287;JARRA COM TAMPA FLIP TOP - VERMELHO 4L;S;1001100;Linha Jarras;12.40;26.70;23.00;S;ok;
184.010.003;S;13820;CABIDE COM 10 PECAS - PRETO;S;1000900;Linha Infantil;0.70;15.20;28.10;S;ok;
184.016.001;S;11873;CABIDE COM 3 PECAS - TRANSPARENTE;S;1000900;Linha Infantil;0.70;15.20;28.10;S;ok;
185.012.002;S;368;PORTA VASSOURAS COM 4 ENCAIXES - BRANCO (185/B);S;1000300;Linha Limpeza;5.00;5.00;34.00;S;ok;
185.012.003;S;3174;PORTA VASSOURAS COM 4 ENCAIXES - PRETO (185/P);S;1000300;Linha Limpeza;5.00;5.00;34.00;S;ok;
186.006.002;S;272;FRASQUEIRA MEDICAMENTOS MEGA LUXO - BRANCA 12L (186);S;1001600;Linha Frasqueiras;25.00;22.00;37.00;S;ok;
186.006.009;S;11874;FRASQUEIRA MEDICAMENTOS MEGA LUXO - VERMELHA 12L;S;1001600;Linha Frasqueiras;25.00;22.00;37.00;S;ok;
187.006.001;S;273;ORGANIZA TUDO COM DIVISORIAS MOVEIS (187);S;1000600;Linha Organização;27.00;6.00;36.00;S;ok;
188.012.002;S;3337;ESCORREDOR DE PRATOS SUPER PRATICO - BRANCO (188/B);S;1000100;Linha Cozinha;26.50;10.50;36.00;S;ok;
188.012.003;S;3338;ESCORREDOR DE PRATOS SUPER PRATICO - PRETO (188/P);S;1000100;Linha Cozinha;36.00;10.80;26.70;S;ok;
188.012.086;S;11876;ESCORREDOR DE PRATOS SUPER PRATICO - CHUMBO;S;1000100;Linha Cozinha;36.00;10.80;26.70;S;ok;
190.012.001;S;87;KIT POTES ALTOS COM TRAVAS E 3 PECAS - TRANSPARENTE (190);S;1000200;Linha Potes;14.50;21.80;20.80;S;ok;
190.012.003;S;14070;KIT POTES ALTOS COM TRAVAS E 3 PECAS - PRETO;S;1000200;Linha Potes;14.50;21.80;20.80;S;ok;
191.012.001;S;4077;POTE COM 2 DIVISORIAS - TRANSPARENTE 720ML;S;1000200;Linha Potes;17.00;6.70;17.00;S;ok;
191.012.003;S;14008;POTE COM 2 DIVISORIAS - PRETO 720ML;S;1000200;Linha Potes;17.00;6.70;17.00;S;ok;
193.024.001;S;6762;SABONETEIRA COM TELINHA - TRANSPARENTE;S;1000800;Linha Banheiro;7.80;4.20;10.80;S;ok;
193.024.066;S;6616;SABONETEIRA COM TELINHA - FUME;S;1000800;Linha Banheiro;7.80;4.20;10.80;S;ok;
194.012.009;S;185;CACAROLA LEGUMIX MICRO-ONDAS COM CESTO - TRANSPARENTE 2,6L (194);S;1000400;Linha Micro-ondas;22.00;15.20;26.50;S;ok;
195.006.012;S;7098;FRASQUEIRA CRISTAL COM DIVISORIAS - ROSA 1,5L;S;1001600;Linha Frasqueiras;11.50;11.00;20.20;S;ok;
195.006.609;S;6388;FRASQUEIRA CRISTAL COM DIVISORIAS - PRETO 1,5L;S;1001600;Linha Frasqueiras;11.50;11.00;20.20;S;ok;
196.006.001;S;4072;POTE PREMIUM - TRANSPARENTE 7,9L;S;1000200;Linha Potes;26.00;12.00;39.00;S;ok;
197.024.010;S;174;MARMITA DUE COM DIVISORIA MOVEL - 600ML (197);S;1000200;Linha Potes;11.90;5.70;14.80;S;ok;
198.012.001;S;6286;ESTOJO SUPER PRATICO - TRANSPARENTE;S;1000600;Linha Organização;6.40;4.00;20.00;S;ok;
198.012.066;S;6617;ESTOJO SUPER PRATICO - FUME;S;1000600;Linha Organização;6.40;4.00;20.00;S;ok;
199.006.001;S;275;NITRONBOX 27L (199);S;1000600;Linha Organização;39.50;17.00;57.50;S;ok;
200.004.001;S;276;NITRONBOX 50L (200);S;1000600;Linha Organização;39.50;31.50;57.50;S;ok;
202.006.001;S;14050;FRASQUEIRA OVAL COM BANDEJA - ROSA 4,4L;S;1001600;Linha Frasqueiras;17.70;18.00;27.00;S;ok;
202.006.002;S;11880;FRASQUEIRA MEDICAMENTOS OVAL COM BANDEJA - BRANCA 4,4L;S;1001600;Linha Frasqueiras;17.70;18.00;27.00;S;ok;
202.006.009;S;11881;FRASQUEIRA MEDICAMENTOS OVAL COM BANDEJA - VERMELHA 4,4L;S;1001600;Linha Frasqueiras;17.70;18.00;27.00;S;ok;
202.006.012;S;7103;FRASQUEIRA OVAL COM BANDEJA - ROSA;S;1001600;Linha Frasqueiras;17.70;18.00;27.00;S;ok;
203.006.003;S;6678;POTE ULTRAFORTE COM TELA E TRAVAS - PRETO 4L;S;1000200;Linha Potes;20.00;10.50;30.00;S;ok;
205.006.861;S;3613;KIT POTE FIT COLORATTO COM 2 PECAS - 450ML (285/K);S;1001200;Linha Coloratto;9.50;11.40;11.80;S;ok;
205.006.862;S;3599;KIT POTE FIT COLORATTO COM 3 PECAS - 450ML (290/K);S;1001200;Linha Coloratto;9.50;45308.00;45515.00;S;ok;
205.006.P01;S;14075;KIT POP COM 6 POTES FITS - TRANSPARENTE 450ML;S;1002001;POP;9.50;45448.00;45515.00;S;ok;
205.012.001;S;4357;POTE RETANGULAR FIT - TRANSPARENTE 450ML;S;1000200;Linha Potes;9.50;45448.00;45515.00;S;ok;
205.012.003;S;13819;POTE RETANGULAR FIT - PRETO 450ML;S;1000200;Linha Potes;9.50;45448.00;45515.00;S;ok;
207.012.002;S;9617;JARRA MEDIDORA TOP MIX - BRANCO 850ML;S;1001100;Linha Jarras;9.90;17.70;14.20;S;ok;
207.012.547;S;4289;JARRA MEDIDORA TOP MIX - VERMELHO 850ML;S;1001100;Linha Jarras;9.90;17.70;14.20;S;ok;
207.024.001;S;215;JARRA MEDIDORA TOP MIX;S;1001100;Linha Jarras;14.20;17.70;9.90;S;ok;
209.012.003;S;6620;MARMITA COM PORTA TALHERES - PRETO 715ML;S;1000200;Linha Potes;11.00;6.40;21.30;S;ok;
211.012.002;S;3270;CANTONEIRA PARA BANHEIRO SMART - BRANCO (211/B);S;1000800;Linha Banheiro;17.00;30.00;26.70;S;ok;
211.012.003;S;3346;CANTONEIRA PARA BANHEIRO SMART - PRETO (211/P);S;1000800;Linha Banheiro;26.90;30.00;17.30;S;ok;
212.012.003;S;6676;POTE COM TRAVAS E 2 DIVISORIAS - PRETO 600ML;S;1000200;Linha Potes;13.00;6.00;17.40;S;ok;
214.006.002;S;3417;ORGANIZADOR MULTIUSO RATTAN COM 6 DIVISORIAS - BRANCO (214/B);S;1000600;Linha Organização;17.70;16.00;19.30;S;ok;
214.006.003;S;3419;ORGANIZADOR MULTIUSO RATTAN COM 6 DIVISORIAS - PRETO (214/P);S;1000600;Linha Organização;17.80;16.00;19.10;S;ok;
214.006.086;S;11883;ORGANIZADOR MULTIUSO RATTAN COM 6 DIVISORIAS - CHUMBO;S;1000600;Linha Organização;17.70;16.00;19.30;S;ok;
215.012.003;S;6681;POTE ULTRAFORTE COM TRAVAS - PRETO 2,1L;S;1000200;Linha Potes;16.50;8.70;25.00;S;ok;
216.012.003;S;6683;POTE ULTRAFORTE COM TRAVAS - PRETO 4L;S;1000200;Linha Potes;20.00;10.50;30.00;S;ok;
217.012.003;S;6674;POTE ULTRAFORTE COM TRAVAS - PRETO 6,9L;S;1000200;Linha Potes;24.00;12.80;35.00;S;ok;
219.006.563;S;4426;FRASQUEIRA RATTAN - ROSA 9,4L;S;1001600;Linha Frasqueiras;23.00;21.00;32.70;S;ok;
221.012.002;S;6290;SALEIRO PREMIER COM ALCA - TRANSPARENTE E BRANCO 1 KG;S;1000100;Linha Cozinha;11.00;13.20;15.50;S;ok;
221.012.003;S;6291;SALEIRO PREMIER COM ALCA - TRANSPARENTE E PRETO 1 KG;S;1000100;Linha Cozinha;11.00;13.20;15.50;S;ok;
222.012.002;S;9618;JARRA COM TAMPA FLIP TOP - BRANCO 1,4L;S;1001100;Linha Jarras;10.00;15.50;18.50;S;ok;
222.012.546;S;4292;JARRA COM TAMPA FLIP TOP - VERMELHO 1,4L;S;1001100;Linha Jarras;10.00;15.50;18.50;S;ok;
2231.024.009;S;223;PORTA FRIOS UNITARIO COM TELA (223/1);S;1000100;Linha Cozinha;18.00;9.00;24.40;S;ok;
2232.012.009;S;224;PORTA FRIOS DUPLO COM TELA (223/2);S;1000100;Linha Cozinha;18.00;5.00;24.40;S;ok;
224.012.002;S;3341;SECA TALHER ESCORRE - BRANCO (224/B);S;1000100;Linha Cozinha;9.50;24.00;18.50;S;ok;
224.012.003;S;3342;SECA TALHER ESCORRE - PRETO (224/P);S;1000100;Linha Cozinha;9.50;24.00;18.50;S;ok;
224.012.086;S;11885;PORTA TALHER ESCORRE E GUARDA - CHUMBO;S;1000100;Linha Cozinha;9.50;24.00;18.50;S;ok;
227.036.998;S;14064;COPO INFANTIL COM ALCA - SORTIDO 320ML;S;1000900;Linha Infantil;8.00;12.20;11.00;S;ok;
227.036.999;S;473;COPO INFANTIL COM ALCA - SORTIDO 320ML (227);S;1000900;Linha Infantil;8.00;12.20;11.00;S;ok;
2270.012.001;S;4032;POTE REDONDO COM TRAVAS - TRANSPARENTE 2,3L (022/7);S;1000200;Linha Potes;22.50;10.10;20.50;S;ok;
2270.012.003;S;14051;POTE REDONDO COM TRAVAS - PRETO 2,3L (022/7);S;1000200;Linha Potes;22.50;10.10;20.50;S;ok;
228.012.003;S;6724;POTE REDONDO COM TRAVAS - PRETO 1,1L;S;1000200;Linha Potes;16.50;8.00;17.50;S;ok;
2280.012.001;S;4035;POTE REDONDO COM TRAVAS - TRANSPARENTE 1,1L;S;1000200;Linha Potes;17.50;8.10;16.50;S;ok;
2280.012.003;S;13810;POTE REDONDO COM TRAVAS - PRETO 1,1L;S;1000200;Linha Potes;17.50;8.10;16.50;S;ok;
229.012.001;S;186;COOK FREEZER MICRO-ONDAS COM CESTO - TRANSPARENTE 3L (229);S;1000400;Linha Micro-ondas;23.70;10.20;23.70;S;ok;
2290.006.862;S;3671;KIT POTE REDONDO COLORATTO COM 3 PECAS - 450ML (304/K);S;1001200;Linha Coloratto;45424.00;18.00;45425.00;S;ok;
2290.012.001;S;4038;POTE REDONDO COM TRAVAS - TRANSPARENTE 450ML;S;1000200;Linha Potes;13.50;6.10;12.50;S;ok;
2290.012.003;S;14152;POTE REDONDO COM TRAVAS - PRETO 450ML;S;1000200;Linha Potes;13.50;6.10;12.50;S;ok;
231.006.861;S;3614;KIT POTE RASO COLORATTO COM 2 PECAS - 270ML (289/K);S;1001200;Linha Coloratto;9.60;8.00;14.00;S;ok;
231.006.862;S;3600;KIT POTE RASO COLORATTO COM 3 PECAS - 270ML (291/K);S;1001200;Linha Coloratto;9.60;12.00;14.00;S;ok;
231.006.P01;S;14052;KIT POP COM 6 POTES RETANGULAR - TRANSPARENTE 270ML;S;1002001;POP;10.00;4.00;14.00;S;ok;
231.012.001;S;4067;POTE RASO COM TRAVAS - TRANSPARENTE 270ML;S;1000200;Linha Potes;10.00;4.00;14.00;S;ok;
231.012.003;S;13997;POTE RASO COM TRAVAS - PRETO 270ML;S;1000200;Linha Potes;10.00;4.00;14.00;S;ok;
232.006.861;S;11891;KIT POTE RASO COLORATTO COM 2 PECAS - 500ML;S;1001200;Linha Coloratto;11.00;10.00;17.00;S;ok;
232.006.862;S;11892;KIT POTE RASO COLORATTO COM 3 PECAS - 500ML;S;1001200;Linha Coloratto;11.00;15.00;17.00;S;ok;
232.012.001;S;4063;POTE RASO COM TRAVAS - TRANSPARENTE 500ML;S;1000200;Linha Potes;11.00;5.00;17.00;S;ok;
232.012.003;S;14037;POTE RASO COM TRAVAS - PRETO 500ML;S;1000200;Linha Potes;11.00;5.00;17.00;S;ok;
233.012.001;S;4060;POTE RASO COM TRAVAS - TRANSPARENTE 1,1L;S;1000200;Linha Potes;14.00;7.00;22.00;S;ok;
233.012.003;S;14036;POTE RASO COM TRAVAS - PRETO 1,1L;S;1000200;Linha Potes;14.00;7.00;22.00;S;ok;
234.012.001;S;4057;POTE RASO COM TRAVAS - TRANSPARENTE 2,3L;S;1000200;Linha Potes;18.00;8.00;26.00;S;ok;
234.012.003;S;14048;POTE RASO COM TRAVAS - PRETO 2,3L;S;1000200;Linha Potes;18.00;8.00;26.00;S;ok;
235.012.001;S;11902;POTE ACOPLADO COM ROSCA - TRANSPARENTE 500ML;S;1000200;Linha Potes;11.80;8.20;11.80;S;ok;
235.012.002;S;6632;POTE ACOPLADO COM ROSCA - BRANCO 500ML;S;1000200;Linha Potes;11.80;8.20;11.80;S;ok;
235.012.003;S;6633;POTE ACOPLADO PRETO C/ROSCA 500ML;S;1000200;Linha Potes;11.80;8.20;11.80;S;ok;
235.012.671;S;14153;POTE ACOPLADO PRETO C/ROSCA - SAL 500ML;S;1000200;Linha Potes;11.80;8.20;11.80;S;ok;
236.012.001;S;11904;POTE ACOPLADO COM ROSCA - TRANSPARENTE 1L;S;1000200;Linha Potes;11.80;15.00;11.80;S;ok;
236.012.002;S;6635;POTE ACOPLADO COM ROSCA - BRANCO 1L;S;1000200;Linha Potes;11.80;15.00;11.80;S;ok;
236.012.003;S;6636;POTE ACOPLADO PRETO C/ROSCA 1L;S;1000200;Linha Potes;11.80;15.00;11.80;S;ok;
236.012.667;S;150;POTE SAL GROSSO ACOPLADO COM ROSCA - 1L (236/SG);S;1000200;Linha Potes;11.80;15.00;11.80;S;ok;
236.012.668;S;13992;POTE CAFÉ ACOPLADO COM ROSCA - 1L;S;1000200;Linha Potes;11.80;15.00;11.80;S;ok;
236.012.669;S;13993;POTE ARROZ ACOPLADO COM ROSCA - 1L;S;1000200;Linha Potes;11.80;15.00;11.80;S;ok;
236.012.670;S;13994;POTE FARINHA ACOPLADO COM ROSCA - 1L;S;1000200;Linha Potes;11.80;15.00;11.80;S;ok;
236.012.671;S;13995;POTE FEIJÃO ACOPLADO COM ROSCA - 1L;S;1000200;Linha Potes;11.80;15.00;11.80;S;ok;
236.012.672;S;13996;POTE AÇUCAR ACOPLADO COM ROSCA - 1L;S;1000200;Linha Potes;11.80;15.00;11.80;S;ok;
237.006.002;S;6638;POTE ACOPLADO COM COPO MEDIDOR - BRANCO 5,8L;S;1000200;Linha Potes;20.50;25.50;20.50;S;ok;
237.006.003;S;6639;POTE ACOPLADO COM COPO MEDIDOR - PRETO 5,8L;S;1000200;Linha Potes;20.50;25.50;20.50;S;ok;
238.012.001;S;11906;POTE ACOPLADO COM ROSCA - TRANSPARENTE 2L;S;1000200;Linha Potes;14.00;17.90;14.00;S;ok;
238.012.002;S;6640;POTE ACOPLADO BRANCO C/ROSCA 2L;S;1000200;Linha Potes;14.00;17.80;14.00;S;ok;
238.012.003;S;6641;POTE ACOPLADO PRETO C/ROSCA 2L;S;1000200;Linha Potes;14.00;17.80;14.00;S;ok;
239.012.001;S;11909;POTE ACOPLADO COM ROSCA - TRANSPARENTE 3L;S;1000200;Linha Potes;15.50;21.70;15.50;S;ok;
239.012.002;S;6643;POTE ACOPLADO COM ROSCA - BRANCO 3L;S;1000200;Linha Potes;15.50;21.70;15.50;S;ok;
239.012.003;S;6644;POTE ACOPLADO PRETO C/ROSCA 3L;S;1000200;Linha Potes;15.50;21.70;15.50;S;ok;
240.024.001;S;106;POTE QUADRADO COM VALVULA - 3L (240);S;1000200;Linha Potes;23.70;10.20;23.70;S;ok;
241.006.P01;S;14053;KIT POP COM 6 POTES COM VALVULA - TRANSPARENTE 460ML;S;1002001;POP;11.70;4.00;19.80;S;ok;
241.024.001;S;107;POTE RASO COM VALVULA - 460ML (241);S;1000200;Linha Potes;11.70;4.00;19.80;S;ok;
242.024.001;S;108;POTE RASO COM VALVULA - 950ML (242);S;1000200;Linha Potes;15.00;5.00;25.00;S;ok;
243.024.001;S;109;POTE RASO COM VALVULA - 1,9L (243);S;1000200;Linha Potes;18.50;5.90;30.50;S;ok;
244.012.001;S;110;POTE RASO COM VALVULA - 3,2L (244);S;1000200;Linha Potes;21.00;7.20;36.00;S;ok;
246.024.001;S;112;POTE ALTO COM VALVULA - 868ML (246);S;1000200;Linha Potes;12.00;7.00;20.00;S;ok;
248.012.009;S;113;POTE TOMATINHO ACOPLADO COM ROSCA - 500ML (248);S;1000200;Linha Potes;11.80;8.20;11.80;S;ok;
249.012.020;S;114;POTE TEMPEROS ACOPLADO COM ROSCA - 500ML (249);S;1000200;Linha Potes;11.80;8.20;11.80;S;ok;
250.024.009;S;187;CACAROLA MICRO-ONDAS COM CESTO - TRANSPARENTE 1,5L (250);S;1000400;Linha Micro-ondas;17.50;10.00;20.50;S;ok;
2500.012.001;S;4102;POTE ALTO RETANGULAR - TRANSPARENTE 868ML;S;1000200;Linha Potes;11.90;6.60;19.90;S;ok;
2500.012.003;S;14040;POTE ALTO RETANGULAR - PRETO 868ML;S;1000200;Linha Potes;11.90;6.60;19.90;S;ok;
251.012.001;S;6646;CACAROLA MINI MICRO-ONDAS - TRANSPARENTE 850ML;S;1000400;Linha Micro-ondas;14.00;9.00;17.00;S;ok;
254.006.001;S;3814;GAVETEIRO MODULAR RATTAN - TRANSPARENTE 8,2L (254/NT);S;1000600;Linha Organização;26.50;14.50;32.80;S;ok;
254.006.002;S;1768;GAVETEIRO MODULAR RATTAN - BRANCO 8,2L (254/B);S;1000600;Linha Organização;26.50;14.50;32.80;S;ok;
254.006.003;S;1766;GAVETEIRO MODULAR RATTAN - PRETO 8,2L (254/P);S;1000600;Linha Organização;26.50;14.50;32.80;S;ok;
2540.012.001;S;121;KIT POTES ALTOS RETANG. COM 3 PECAS - TRANSPARENTE (025/4);S;1000200;Linha Potes;21.00;10.10;36.00;S;ok;
2540.012.003;S;14069;KIT POTES ALTOS RETANG. COM 3 PECAS - PRETO (025/4);S;1000200;Linha Potes;21.00;10.10;36.00;S;ok;
255.036.016;S;218;FORMA DE GELO FIRENZE COM TAMPA (255);S;1000100;Linha Cozinha;11.90;3.90;30.50;S;ok;
256.006.M02;S;7960;CAIXA JUTA ALONGADA COM TAMPA TECA - BRANCA 1,5L;S;1001802;Teca Organização;10.20;9.40;21.00;S;ok;
256.006.M03;S;7959;CAIXA JUTA ALONGADA COM TAMPA TECA - PRETA 1,5L;S;1001802;Teca Organização;10.20;9.40;21.00;S;ok;
256.024.002;S;1884;CESTO ALONGADO JUTA - BRANCO1,5L (256/B);S;1000600;Linha Organização;9.90;8.70;20.60;S;ok;
256.024.003;S;1885;CESTO ALONGADO JUTA - PRETO 1,5L (256/P);S;1000600;Linha Organização;9.90;8.70;20.60;S;ok;
256.024.086;S;11917;CESTO ALONGADO  JUTA - CHUMBO 3,2L;S;1000600;Linha Organização;9.90;8.70;20.60;S;ok;
257.006.M02;S;7956;CAIXA JUTA ALONGADA COM TAMPA TECA - BRANCA 3,7L;S;1001802;Teca Organização;13.30;12.50;28.40;S;ok;
257.006.M03;S;7955;CAIXA JUTA ALONGADA COM TAMPA TECA - PRETA 3,7L;S;1001802;Teca Organização;13.30;12.50;28.40;S;ok;
257.012.002;S;1879;CESTO ALONGADO JUTA - BRANCO3,7L (257/B);S;1000600;Linha Organização;13.20;11.60;27.50;S;ok;
257.012.003;S;1880;CESTO ALONGADO JUTA - PRETO 3,7L (257/P);S;1000600;Linha Organização;13.20;11.60;27.50;S;ok;
257.012.086;S;11919;CESTO ALONGADO  JUTA - CHUMBO 4,5L;S;1000600;Linha Organização;13.20;11.60;27.50;S;ok;
2570.012.001;S;122;POTE ALTO RETANGULAR - TRANSPARENTE 4,6L (025/7);S;1000200;Linha Potes;21.00;10.00;36.00;S;ok;
2570.012.003;S;14038;POTE ALTO RETANGULAR - PRETO 4,6L;S;1000200;Linha Potes;21.00;10.00;36.00;S;ok;
258.004.M02;S;7952;CAIXA JUTA ALONGADA COM TAMPA TECA - BRANCA 7,4L;S;1001802;Teca Organização;16.50;15.00;34.50;S;ok;
258.004.M03;S;7951;CAIXA JUTA ALONGADA COM TAMPA TECA - PRETA 7,4L;S;1001802;Teca Organização;16.50;15.00;34.50;S;ok;
258.006.002;S;1873;CESTO ALONGADO JUTA - BRANCO 7,4L (258/B);S;1000600;Linha Organização;16.50;14.50;34.50;S;ok;
258.006.003;S;1874;CESTO ALONGADO JUTA - PRETO 7,4L (258/P);S;1000600;Linha Organização;16.50;14.50;34.50;S;ok;
258.006.086;S;11923;CESTO ALONGADO JUTA - CHUMBO 7L;S;1000600;Linha Organização;16.50;14.50;34.50;S;ok;
2580.012.001;S;4078;POTE ALTO RETANGULAR - TRANSPARENTE 3L;S;1000200;Linha Potes;18.50;8.70;30.50;S;ok;
2580.012.003;S;14039;POTE ALTO RETANGULAR - PRETO 3L;S;1000200;Linha Potes;18.50;8.70;30.50;S;ok;
259.012.002;S;1867;CAIXA ORGANIZADORA BAIXA RATTAN COM TAMPA - BRANCA 3,2L (259/B);S;1000600;Linha Organização;20.00;8.30;25.50;S;ok;
259.012.003;S;1868;CAIXA ORGANIZADORA BAIXA RATTAN COM TAMPA - PRETA 3,2L (259/P);S;1000600;Linha Organização;20.00;8.30;25.50;S;ok;
259.012.086;S;11937;CAIXA ORGANIZADORA BAIXA RATTAN COM TAMPA - CHUMBO 3,2L;S;1000600;Linha Organização;20.00;8.30;25.50;S;ok;
2590.012.001;S;4081;POTE ALTO RETANGULAR - TRANSPARENTE 1,5L;S;1000200;Linha Potes;15.00;7.20;25.00;S;ok;
2590.012.003;S;14054;POTE ALTO RETANGULAR - PRETO 1,5L;S;1000200;Linha Potes;15.00;7.20;25.00;S;ok;
260.012.002;S;1864;CAIXA ORGANIZADORA BAIXA RATTAN COM TAMPA - BRANCA 4,5L (260/B);S;1000600;Linha Organização;22.50;8.30;32.40;S;ok;
260.012.003;S;1860;CAIXA ORGANIZADORA BAIXA RATTAN COM TAMPA - PRETA 4,5L (260/P);S;1000600;Linha Organização;22.50;8.30;32.40;S;ok;
