referencia,codprod,nome,pagina,categoria_catalogo,ambiente,linha_erp,comprimento_mm,largura_mm,altura_mm,fonte_cota,classe,frente_mm,profundidade_min_mm,baia_mm,faturamento_12m,clientes
032.012.002,9608,Jarra com Tampa,90,JARRAS,COZINHA,Linha Jarras,208.0,145.0,199.0,erp,gondola,145,285,270,140806.36,681
169.012.003,6612,Boleira Barcelona com Alça,79,COZINHA,COZINHA,Linha Cozinha,305.0,305.0,132.0,erp,gondola,305,372,270,140617.5,525
002.036.002,38,Tábua Popular,80,COZINHA,COZINHA,Linha Cozinha,318.0,207.0,4.0,erp,gondola,207,372,270,140381.74,192
150.004.002,3276,Lixeira com Pedal,100,LIXEIRAS,BANHO E LAVANDERIA,Linha Lixeiras,297.0,298.0,363.0,erp,gondola,297,372,513,140267.7,396
147.012.604,6397,Frasqueira Mini,30,FRASQUEIRAS,FRASQUEIRAS E INFANTIL,Linha Frasqueiras,150.0,125.0,95.0,erp,gondola,125,285,270,139229.27,593
284.012.002,3391,Cesto Transporta Tudo,104,LIMPEZA,BANHO E LAVANDERIA,Linha Limpeza,313.0,263.0,182.0,catalogo,gondola,263,372,270,137871.97,245
501.012.003,8605,Caixa Organizadora Flat com Tampa,10,ORGANIZACAO,ORGANIZACAO,Linha Organização,250.0,116.0,108.0,erp,gondola,116,285,270,137598.56,267
449.006.003,7110,Lixeira Juta com Pedal,98,LIXEIRAS,BANHO E LAVANDERIA,Linha Lixeiras,265.0,163.0,260.0,erp,gondola,163,285,513,137034.32,452
2231.024.009,223,Porta Frios com Tela,77,COZINHA,COZINHA,Linha Cozinha,244.0,180.0,90.0,erp,gondola,180,285,270,136231.61,297
003.006.002,282,Gaveteiro Com 3 Gavetas - Branca (004/3B),14,ORGANIZACAO,ORGANIZACAO,Linha Organização,210.0,180.0,173.0,erp,gondola,180,285,270,135422.22,337
033.012.547,4230,Jarra com Espremedor,90,JARRAS,COZINHA,Linha Jarras,208.0,145.0,218.0,erp,gondola,145,285,270,133967.58,464
186.006.009,11874,Mega Luxo,30,FRASQUEIRAS,FRASQUEIRAS E INFANTIL,Linha Frasqueiras,370.0,250.0,220.0,erp,gondola,250,372,270,133662.57,128
043.012.009,6572,"Frasqueira Medicamentos 1,4L",29,FRASQUEIRAS,FRASQUEIRAS E INFANTIL,Linha Frasqueiras,191.0,157.0,100.0,erp,gondola,157,285,270,132536.91,386
016.012.003,3297,Talheres Max,75,COZINHA,COZINHA,Linha Cozinha,116.0,240.0,135.0,erp,gondola,116,285,270,131079.78,957
502.012.001,8863,Caixa Organizadora Flat com Tampa,10,ORGANIZACAO,ORGANIZACAO,Linha Organização,255.0,175.0,107.0,erp,gondola,175,285,270,130789.68,304
140.012.001,6284,Estojo Multiuso,13,ORGANIZACAO,ORGANIZACAO,Linha Organização,210.0,68.0,35.0,erp,gondola,68,285,270,130666.19,865
359.012.003,152,Pote Arroz Acoplado Com Rosca - 2L,48,POTES,COZINHA,Linha Potes,140.0,140.0,179.0,erp,gondola,140,285,270,128599.85,389
198.012.001,6286,Estojo Super Prático,13,ORGANIZACAO,ORGANIZACAO,Linha Organização,200.0,64.0,40.0,erp,gondola,64,285,270,127247.8,549
110.006.001,248,Nitronbox 20L (110),17,ORGANIZACAO,ORGANIZACAO,Linha Organização,410.0,293.0,256.0,erp,gondola,293,500,513,127135.56,253
261.006.002,1855,Caixa Organizadora Baixa Rattan com Tampa,6,ORGANIZACAO,ORGANIZACAO,Linha Organização,385.0,280.0,83.0,erp,gondola,280,500,270,127006.06,129
070.006.002,5898,Escorredor Luxo,82,COZINHA,COZINHA,Linha Cozinha,348.0,278.0,145.0,erp,gondola,278,372,270,126866.3,683
503.006.002,8608,Caixa Organizadora Flat com Tampa,10,ORGANIZACAO,ORGANIZACAO,Linha Organização,350.0,259.0,139.0,erp,gondola,259,372,270,126819.02,156
256.024.002,1884,Cesto Alongado Juta,8,ORGANIZACAO,ORGANIZACAO,Linha Organização,206.0,99.0,87.0,erp,gondola,99,285,270,124128.81,416
194.012.009,185,Micro-ondas com Cesto,85,MICRO-ONDAS,COZINHA,Linha Micro-ondas,265.0,220.0,152.0,erp,gondola,220,285,270,124068.22,355
306.006.520,4254,"Travessa Oval Canelada Com Tampa - Branca 1,2L",79,COZINHA,COZINHA,Linha Potes,280.0,145.0,73.0,erp,gondola,145,285,270,123991.77,476
224.012.002,3341,Porta Talher Escorre e Guarda,74,COZINHA,COZINHA,Linha Cozinha,185.0,95.0,240.0,erp,gondola,95,285,270,123104.88,565
109.012.001,247,Nitronbox 6L (109),17,ORGANIZACAO,ORGANIZACAO,Linha Organização,370.0,228.0,130.0,erp,gondola,228,372,270,120671.23,250
219.006.563,4426,Frasqueira Rattan,31,FRASQUEIRAS,FRASQUEIRAS E INFANTIL,Linha Frasqueiras,327.0,230.0,210.0,erp,gondola,230,372,270,120272.65,269
202.006.002,11880,"Oval com Bandeja 4,4L",29,FRASQUEIRAS,FRASQUEIRAS E INFANTIL,Linha Frasqueiras,270.0,177.0,180.0,erp,gondola,177,285,270,119058.58,299
270.006.003,1897,Cesto Europa Juta,9,ORGANIZACAO,ORGANIZACAO,Linha Organização,410.0,280.0,222.0,erp,gondola,280,500,270,118525.93,165
090.012.003,6659,Açucareiro Doçura,81,COZINHA,COZINHA,Linha Cozinha,175.0,110.0,132.0,erp,gondola,110,285,270,117361.91,761
056.012.002,6262,Escorredor Luxo com Cabo,82,COZINHA,COZINHA,Linha Cozinha,385.0,250.0,115.0,erp,gondola,250,500,270,116732.87,419
258.004.M03,7951,Caixa Juta Alongada com Tampa Teca,38,TECA,COZINHA,Teca Organização,345.0,165.0,150.0,erp,gondola,165,372,270,116201.21,91
4010.012.003,3604,Açucareiro com Tampa,81,COZINHA,COZINHA,Linha Cozinha,129.0,79.0,159.0,erp,gondola,79,285,270,116174.66,635
053.004.002,3108,4 Andares,13,ORGANIZACAO,ORGANIZACAO,Linha Organização,395.0,300.0,705.0,erp,gondola,300,500,,115762.35,295
920.004.002,12022,Kit Detergente Flat com 2 Peças,73,COZINHA,COZINHA,Linha Cozinha,204.0,86.0,163.0,erp,gondola,86,285,270,115282.55,509
817.012.001,12015,Pote Alto com Válvula,55,POTES,COZINHA,Linha Potes,250.0,150.0,70.0,erp,gondola,150,285,270,111682.0,364
120.006.012,7099,Frasqueira com Bandeja,31,FRASQUEIRAS,FRASQUEIRAS E INFANTIL,Linha Frasqueiras,242.0,163.0,128.0,erp,gondola,163,285,270,110560.9,432
317.012.001,4371,Marmita Fit,56,POTES,COZINHA,Linha Potes,184.0,100.0,62.0,erp,gondola,100,285,270,110430.97,217
2270.012.001,4032,Pote Redondo com Travas,45,POTES,COZINHA,Linha Potes,205.0,225.0,101.0,erp,gondola,205,285,270,110417.37,411
169.012.002,6611,Boleira Barcelona com Alça,79,COZINHA,COZINHA,Linha Cozinha,305.0,305.0,132.0,erp,gondola,305,372,270,109802.85,389
920.004.086,12024,Kit Detergente Flat com 2 Peças,73,COZINHA,COZINHA,Linha Cozinha,204.0,86.0,163.0,erp,gondola,86,285,270,109006.56,422
211.012.002,3270,Cantoneira Para Banheiro Smart - Branco (211/B),109,BANHEIRO,BANHO E LAVANDERIA,Linha Banheiro,267.0,170.0,300.0,erp,gondola,170,285,513,106403.06,440
349.012.575,6094,Porta Queijo com Tela,77,COZINHA,COZINHA,Linha Potes,200.0,120.0,40.0,erp,gondola,120,285,270,104997.34,406
077.012.003,5901,Escorredor Ideal,82,COZINHA,COZINHA,Linha Cozinha,267.0,240.0,100.0,erp,gondola,240,285,270,104979.63,818
182.012.002,9616,Jarra com Tampa Flip Top,89,JARRAS,COZINHA,Linha Jarras,230.0,124.0,267.0,erp,gondola,124,285,513,104879.67,312
193.024.001,6762,Saboneteira com Telinha,108,BANHEIRO,BANHO E LAVANDERIA,Linha Banheiro,108.0,78.0,42.0,erp,gondola,78,285,270,104539.66,1070
281.036.999,1933,Pote Acoplado com Copo Medidor,49,POTES,COZINHA,Linha Cozinha,93.0,60.0,97.0,erp,gondola,60,285,270,103539.97,628
164.006.001,265,Maleta Organiza Tudo c/Divis. Móveis,15,ORGANIZACAO,ORGANIZACAO,Linha Organização,387.0,296.0,50.0,erp,gondola,296,500,270,103051.26,231
553.012.003,9901,Porta Sabonete Líquido Flat,73,COZINHA,COZINHA,Linha Limpeza,79.0,79.0,160.0,erp,gondola,79,285,270,102701.29,601
170.006.045,6719,Caixa de Ferramentas Nitronfort 16L,19,ORGANIZACAO,ORGANIZACAO,Linha Organização,403.0,223.0,183.0,erp,gondola,223,500,270,101848.1,332
128.012.003,6598,Cestinho para Prendedor ﬂoral,104,LIMPEZA,BANHO E LAVANDERIA,Linha Limpeza,240.0,188.0,110.0,erp,gondola,188,285,270,101786.96,672
154.012.001,4147,Pote Alto com Travas,43,POTES,COZINHA,Linha Potes,140.0,100.0,70.0,erp,gondola,100,285,270,101377.25,826
018.030.002,3,Tábua Multiuso,80,COZINHA,COZINHA,Linha Cozinha,356.0,205.0,4.0,erp,gondola,205,372,270,100928.92,193
028.012.003,5897,Escorredor de Arroz Tradicional,83,COZINHA,COZINHA,Linha Cozinha,280.0,220.0,160.0,erp,gondola,220,285,270,100491.69,944
059.012.002,3303,Escorredor de Pratos,74,COZINHA,COZINHA,Linha Cozinha,422.0,305.0,95.0,erp,gondola,305,500,270,100467.81,424
148.004.002,4351,Lixeira Basculante,101,LIXEIRAS,BANHO E LAVANDERIA,Linha Lixeiras,292.0,240.0,430.0,erp,gondola,240,372,513,99519.05,264
323.006.001,4385,"Pote Modular - Transparente 2,4L",51,POTES,COZINHA,Linha Potes,110.0,110.0,285.0,erp,gondola,110,285,513,99223.19,371
450.012.086,11994,Lixeira Juta com Clique,98,LIXEIRAS,BANHO E LAVANDERIA,Linha Lixeiras,198.0,160.0,225.0,erp,gondola,160,285,270,99126.44,133
229.012.001,186,Cook Freezer com Cesto,86,MICRO-ONDAS,COZINHA,Linha Micro-ondas,237.0,237.0,102.0,erp,gondola,237,285,270,98439.49,254
257.006.M03,7955,Caixa Juta Alongada com Tampa Teca,38,TECA,COZINHA,Teca Organização,284.0,133.0,125.0,erp,gondola,133,285,270,98395.97,98
222.012.546,4292,Jarra com Tampa Flip Top,89,JARRAS,COZINHA,Linha Jarras,185.0,100.0,155.0,erp,gondola,100,285,270,97949.86,505
350.012.577,6095,Porta Frios com Tela,77,COZINHA,COZINHA,Linha Potes,200.0,120.0,40.0,erp,gondola,120,285,270,96263.89,438
258.004.M02,7952,Caixa Juta Alongada com Tampa Teca,38,TECA,COZINHA,Teca Organização,345.0,165.0,150.0,erp,gondola,165,372,270,95044.61,75
077.012.002,5900,Escorredor Ideal,82,COZINHA,COZINHA,Linha Cozinha,267.0,240.0,100.0,erp,gondola,240,285,270,94377.4,620
2232.012.009,224,Porta Frios Duplo Com Tela (223/2),77,COZINHA,COZINHA,Linha Cozinha,244.0,180.0,50.0,erp,gondola,180,285,270,94177.74,232
2270.012.003,14051,Pote Redondo com Travas,45,POTES,COZINHA,Linha Potes,205.0,225.0,101.0,erp,gondola,205,285,270,94150.2,204
211.012.003,3346,Cantoneira Para Banheiro Smart - Preto (211/P),109,BANHEIRO,BANHO E LAVANDERIA,Linha Banheiro,173.0,269.0,300.0,erp,gondola,173,285,513,93948.91,427
241.024.001,107,Pote Raso com Válvula,55,POTES,COZINHA,Linha Potes,198.0,117.0,40.0,erp,gondola,117,285,270,93939.12,423
041.012.086,11825,Organizador Multiuso Rattan Com 3 Divisorias - Chumbo,7,ORGANIZACAO,ORGANIZACAO,Linha Organização,160.0,110.0,178.0,erp,gondola,110,285,270,92531.34,593
130.012.002,3290,Lixeira Retrátil,101,LIXEIRAS,BANHO E LAVANDERIA,Linha Lixeiras,189.0,158.0,275.0,erp,gondola,158,285,513,92278.44,482
137.012.009,6599,"Frasqueira Medicamentos 2,8L",29,FRASQUEIRAS,FRASQUEIRAS E INFANTIL,Linha Frasqueiras,242.0,163.0,128.0,erp,gondola,163,285,270,91348.28,279
202.006.012,7103,Frasqueira Oval com Bandeja,31,FRASQUEIRAS,FRASQUEIRAS E INFANTIL,Linha Frasqueiras,270.0,177.0,180.0,erp,gondola,177,285,270,90746.75,308
450.012.002,7117,Lixeira Juta com Clique,98,LIXEIRAS,BANHO E LAVANDERIA,Linha Lixeiras,198.0,160.0,225.0,erp,gondola,160,285,270,90322.67,183
090.012.002,6658,Saleiro Rubi,81,COZINHA,COZINHA,Linha Cozinha,175.0,110.0,132.0,erp,gondola,110,285,270,89756.36,546
170.006.027,6718,Caixa de Ferramentas Nitronfort 16L,19,ORGANIZACAO,ORGANIZACAO,Linha Organização,403.0,223.0,183.0,erp,gondola,223,500,270,89746.77,207
017.024.999,229,Pá de Lixo Inova,105,LIMPEZA,BANHO E LAVANDERIA,Linha Limpeza,322.0,225.0,102.0,erp,gondola,225,372,270,89603.83,281
133.012.086,11862,Porta Detergente Rattan com Base,71,COZINHA,COZINHA,Linha Cozinha,197.0,105.0,70.0,erp,gondola,105,285,270,89583.68,493
257.006.M02,7956,Caixa Juta Alongada com Tampa Teca,38,TECA,COZINHA,Teca Organização,284.0,133.0,125.0,erp,gondola,133,285,270,89490.58,95
302.012.001,4051,Pote Raso Retangular Raso,60,POTES,COZINHA,Linha Potes,310.0,190.0,60.0,erp,gondola,190,372,270,88924.57,386
446.012.001,8101,Pincéis e Acessórios,14,ORGANIZACAO,ORGANIZACAO,Linha Organização,130.0,95.0,105.0,erp,gondola,95,285,270,86705.0,301
051.012.002,3300,Porta Detergente 3 Em 1 - Branco (051/B),75,COZINHA,COZINHA,Linha Cozinha,280.0,102.0,65.0,erp,gondola,102,285,270,86647.64,650
076.024.001,6577,Saboneteira com Tampa,108,BANHEIRO,BANHO E LAVANDERIA,Linha Banheiro,108.0,78.0,42.0,erp,gondola,78,285,270,86577.03,715
068.012.086,11854,Rattan com Tampa,5,ORGANIZACAO,ORGANIZACAO,Linha Organização,323.0,225.0,148.0,erp,gondola,225,372,270,86249.99,167
028.012.002,5896,Escorredor de Arroz Tradicional,83,COZINHA,COZINHA,Linha Cozinha,280.0,220.0,160.0,erp,gondola,220,285,270,84637.74,580
259.012.002,1867,Caixa Organizadora Baixa Rattan com Tampa,6,ORGANIZACAO,ORGANIZACAO,Linha Organização,255.0,200.0,83.0,erp,gondola,200,285,270,84493.05,157
123.012.045,6714,"Caixa de Ferramentas Nitronfort 2,2L",19,ORGANIZACAO,ORGANIZACAO,Linha Frasqueiras,290.0,140.0,98.0,erp,gondola,140,372,270,84188.99,329
116.012.002,3318,Porta Detergente Com Telinha - Branco (116/B),75,COZINHA,COZINHA,Linha Cozinha,230.0,105.0,65.0,erp,gondola,105,285,270,83941.86,636
348.012.576,6093,Porta Presunto Com Tela,77,COZINHA,COZINHA,Linha Potes,200.0,120.0,40.0,erp,gondola,120,285,270,83673.17,371
075.024.001,498,Sanduicheira Pratic,54,POTES,COZINHA,Linha Cozinha,139.0,125.0,70.0,erp,gondola,125,285,270,83281.03,535
3840.016.003,130,Kit Pote Café e Açúcar,53,POTES,COZINHA,Linha Potes,183.0,183.0,155.0,erp,gondola,183,285,270,82918.9,140
047.012.003,302,Cesto Organizador Vime,18,ORGANIZACAO,ORGANIZACAO,Linha Organização,294.0,210.0,170.0,erp,gondola,210,372,270,81933.89,323
552.004.002,9898,Cesto de Roupas Empilhável,103,LIMPEZA,BANHO E LAVANDERIA,Linha Limpeza,350.0,345.0,495.0,erp,gondola,345,372,,81704.55,70
198.012.066,6617,Estojo Super Prático,13,ORGANIZACAO,ORGANIZACAO,Linha Organização,200.0,64.0,40.0,erp,gondola,64,285,270,81519.59,423
269.012.002,1902,Cesto Europa Juta,9,ORGANIZACAO,ORGANIZACAO,Linha Organização,340.0,240.0,187.0,erp,gondola,240,372,270,80495.08,144
193.024.066,6616,Saboneteira com Telinha,108,BANHEIRO,BANHO E LAVANDERIA,Linha Banheiro,108.0,78.0,42.0,erp,gondola,78,285,270,80303.39,1037
231.012.001,4067,Pote Raso com Travas,42,POTES,COZINHA,Linha Potes,140.0,100.0,40.0,erp,gondola,100,285,270,80234.86,759
450.012.003,7120,Lixeira Juta com Clique,98,LIXEIRAS,BANHO E LAVANDERIA,Linha Lixeiras,198.0,160.0,225.0,erp,gondola,160,285,270,79395.04,186
246.024.001,112,Pote Alto com Válvula,55,POTES,COZINHA,Linha Potes,200.0,120.0,70.0,erp,gondola,120,285,270,79316.29,375
214.006.086,11883,Organizador Multiuso Rattan Com 6 Divisorias - Chumbo,7,ORGANIZACAO,ORGANIZACAO,Linha Organização,193.0,177.0,160.0,erp,gondola,177,285,270,78702.74,421
064.012.547,4266,Jarra com Tubo para Gelo,91,JARRAS,COZINHA,Linha Jarras,208.0,145.0,199.0,erp,gondola,145,285,270,78084.59,190
2280.012.001,4035,Pote Redondo com Travas,45,POTES,COZINHA,Linha Potes,165.0,175.0,81.0,erp,gondola,165,285,270,77902.76,379
067.012.002,6269,Saleiro - Transparente E Branco,81,COZINHA,COZINHA,Linha Cozinha,160.0,110.0,120.0,erp,gondola,110,285,270,77301.01,668
546.012.003,9879,Porta Escovas Flat,107,BANHEIRO,BANHO E LAVANDERIA,Linha Banheiro,80.0,80.0,208.0,erp,gondola,80,285,270,76977.55,579
162.012.003,3269,Cesto com Alça,18,ORGANIZACAO,ORGANIZACAO,Linha Organização,368.0,244.0,148.0,erp,gondola,244,372,270,76223.91,245
239.012.001,11909,Pote Acoplado Com Rosca - Transparente 3L,48,POTES,COZINHA,Linha Potes,155.0,155.0,217.0,erp,gondola,155,285,270,75341.37,308
3790.012.001,4099,Pote Quadrado com Travas,44,POTES,COZINHA,Linha Potes,113.0,120.0,58.0,erp,gondola,113,285,270,74723.58,692
069.006.086,11855,Rattan com Tampa,5,ORGANIZACAO,ORGANIZACAO,Linha Organização,385.0,280.0,190.0,erp,gondola,280,500,270,73820.36,194
221.012.002,6290,Saleiro Premier com Alça,81,COZINHA,COZINHA,Linha Cozinha,155.0,110.0,132.0,erp,gondola,110,285,270,73673.44,346
270.006.002,1896,Cesto Europa Juta,9,ORGANIZACAO,ORGANIZACAO,Linha Organização,410.0,280.0,222.0,erp,gondola,280,500,270,73256.65,110
045.012.001,1602,Micro-ondas com Tampa,86,MICRO-ONDAS,COZINHA,Linha Micro-ondas,262.0,237.0,100.0,erp,gondola,237,285,270,73024.85,281
020.024.001,178,Micro-ondas com Tampa,86,MICRO-ONDAS,COZINHA,Linha Micro-ondas,260.0,235.0,70.0,erp,gondola,235,285,270,72721.12,1342
047.012.002,298,Cesto Organizador Vime,18,ORGANIZACAO,ORGANIZACAO,Linha Organização,294.0,210.0,170.0,erp,gondola,210,372,270,72515.54,246
396.006.086,11990,Lixeira Flat com Pedal,99,LIXEIRAS,BANHO E LAVANDERIA,Linha Lixeiras,256.0,172.0,268.0,erp,gondola,172,285,513,71101.47,200
140.012.066,6601,Estojo Multiuso,13,ORGANIZACAO,ORGANIZACAO,Linha Organização,210.0,68.0,35.0,erp,gondola,68,285,270,70165.55,548
700.006.001,4180,Organizador de Geladeira Rattan,27,GELADEIRA,COZINHA,Linha Geladeira,382.0,275.0,82.0,erp,gondola,275,500,270,69157.58,333
224.012.086,11885,Porta Talher Escorre e Guarda,74,COZINHA,COZINHA,Linha Cozinha,185.0,95.0,240.0,erp,gondola,95,285,270,67987.2,256
269.012.003,1903,Cesto Europa Juta,9,ORGANIZACAO,ORGANIZACAO,Linha Organização,340.0,240.0,187.0,erp,gondola,240,372,270,67068.69,130
680.004.M00,12039,Boleira Teca Com Acrílico,36,TECA,COZINHA,Teca Cozinha,255.0,255.0,115.0,erp,gondola,255,285,270,66879.17,105
553.012.002,9900,Porta Sabonete Líquido Flat,73,COZINHA,COZINHA,Linha Limpeza,79.0,79.0,160.0,erp,gondola,79,285,270,65988.77,451
4040.012.003,3616,Saleiro com Tampa,81,COZINHA,COZINHA,Linha Cozinha,129.0,79.0,159.0,erp,gondola,79,285,270,65973.69,597
705.006.001,4175,Organziador de Geladeira Juta,27,GELADEIRA,COZINHA,Linha Geladeira,277.0,132.0,118.0,erp,gondola,132,285,270,65296.42,382
507.004.M03,8649,Teca com Gaveta,34,TECA,COZINHA,Teca Cozinha,350.0,257.0,58.0,erp,gondola,257,372,270,64622.1,36
055.012.002,6257,Escorredor Multiuso,83,COZINHA,COZINHA,Linha Cozinha,260.0,215.0,190.0,erp,gondola,215,285,270,64323.58,282
322.006.001,4383,"Pote Modular - Transparente 1,2L",51,POTES,COZINHA,Linha Potes,110.0,110.0,146.0,erp,gondola,110,285,270,64068.31,367
703.006.001,4178,Organizador de Geladeira Rattan,27,GELADEIRA,COZINHA,Linha Geladeira,250.0,195.0,104.0,erp,gondola,195,285,270,64018.19,389
249.012.020,114,Pote Temperos Acoplado Com Rosca - 500Ml (249),46,POTES,COZINHA,Linha Potes,118.0,118.0,82.0,erp,gondola,118,285,270,63895.87,335
207.024.001,215,Jarra Medidora Top Mix,91,JARRAS,COZINHA,Linha Jarras,99.0,142.0,177.0,erp,gondola,99,285,270,63572.11,361
096.012.002,52,Escorredor de Pratos Rattan,71,COZINHA,COZINHA,Linha Cozinha,337.0,222.0,98.0,erp,gondola,222,372,270,63400.83,213
268.012.002,1908,Cesto Europa Juta,9,ORGANIZACAO,ORGANIZACAO,Linha Organização,270.0,202.0,150.0,erp,gondola,202,285,270,63098.7,163
270.002.M03,8617,Caixa Juta Europa com Tampa Teca,39,TECA,COZINHA,Teca Organização,410.0,280.0,227.0,erp,gondola,280,500,270,62599.18,22
502.012.002,8606,Caixa Organizadora Flat com Tampa,10,ORGANIZACAO,ORGANIZACAO,Linha Organização,255.0,175.0,107.0,erp,gondola,175,285,270,62540.49,119
421.024.002,8019,Cortador e Ralador de Legumes,93,DECOR,COZINHA,Decor-Chef,220.0,80.0,23.0,erp,gondola,80,285,270,62466.41,341
205.006.862,3599,Kit Pote Fit Coloratto Com 3 Pecas - 450Ml (290/K),62,POTES,COZINHA,Linha Coloratto,118.0,95.0,171.0,catalogo,gondola,95,285,270,62317.04,267
313.006.561,4433,Organizador De Cosmeticos Com 2 Gavetas - Branca,14,ORGANIZACAO,ORGANIZACAO,Linha Organização,203.0,185.0,210.0,erp,gondola,185,285,270,62183.19,140
545.012.002,9875,Porta Detergente e Esponja Flat,73,COZINHA,COZINHA,Linha Cozinha,205.0,87.0,60.0,erp,gondola,87,285,270,61751.11,447
062.012.086,11831,Rattan com Tampa,5,ORGANIZACAO,ORGANIZACAO,Linha Organização,255.0,200.0,107.0,erp,gondola,200,285,270,60957.32,188
123.012.027,7069,"Caixa de Ferramentas Nitronfort 2,2L",19,ORGANIZACAO,ORGANIZACAO,Linha Frasqueiras,290.0,140.0,98.0,erp,gondola,140,372,270,60907.95,199
016.012.002,3296,Talheres Max,75,COZINHA,COZINHA,Linha Cozinha,240.0,115.0,135.0,erp,gondola,115,285,270,60055.6,576
111.012.002,9612,Espremedor Portátil Fit,90,JARRAS,COZINHA,Linha Jarras,103.0,95.0,167.0,erp,gondola,95,285,270,59739.31,337
132.036.683,25,Prato Unitário,67,INFANTIL,FRASQUEIRAS E INFANTIL,Linha Infantil,217.0,217.0,28.0,erp,gondola,217,285,270,59114.16,234
195.006.609,6388,Frasqueira Cristal com Divisórias,30,FRASQUEIRAS,FRASQUEIRAS E INFANTIL,Linha Frasqueiras,202.0,115.0,110.0,erp,gondola,115,285,270,58929.02,347
501.012.002,8604,Caixa Organizadora Flat com Tampa,10,ORGANIZACAO,ORGANIZACAO,Linha Organização,250.0,116.0,108.0,erp,gondola,116,285,270,56742.2,106
162.012.002,3325,Cesto com Alça,18,ORGANIZACAO,ORGANIZACAO,Linha Organização,368.0,244.0,148.0,erp,gondola,244,372,270,56253.81,172
314.006.561,4434,Organizador De Cosmeticos Com 1 Gaveta - Branca,14,ORGANIZACAO,ORGANIZACAO,Linha Organização,203.0,185.0,155.0,erp,gondola,185,285,270,55015.56,153
397.004.086,11991,Lixeira Flat com Pedal,99,LIXEIRAS,BANHO E LAVANDERIA,Linha Lixeiras,260.0,256.0,320.0,erp,gondola,256,285,513,54884.09,164
158.024.029,86,Pote Alto com Travas,43,POTES,COZINHA,Linha Potes,170.0,110.0,85.0,erp,gondola,110,285,270,54604.7,292
701.006.001,4177,Organizador de Geladeira Rattan,27,GELADEIRA,COZINHA,Linha Geladeira,319.0,220.0,82.0,erp,gondola,220,372,270,54377.4,361
301.012.001,4049,Pote Raso Retangular Raso,60,POTES,COZINHA,Linha Potes,250.0,150.0,50.0,erp,gondola,150,285,270,53979.69,441
236.012.001,11904,Pote Acoplado Com Rosca - Transparente 1L,47,POTES,COZINHA,Linha Potes,118.0,118.0,150.0,erp,gondola,118,285,270,52667.61,390
191.012.001,4077,Pote com 2 Divisórias,59,POTES,COZINHA,Linha Potes,170.0,170.0,67.0,erp,gondola,170,285,270,52479.02,308
503.006.086,12003,Caixa Organizadora Flat com Tampa,10,ORGANIZACAO,ORGANIZACAO,Linha Organização,353.0,261.0,139.0,catalogo,gondola,261,372,270,52220.88,110
308.006.520,4256,Estojo Super Prático,13,ORGANIZACAO,ORGANIZACAO,Linha Cozinha,247.0,205.0,59.0,erp,gondola,205,285,270,51702.32,115
033.012.002,9609,Jarra com Espremedor,90,JARRAS,COZINHA,Linha Jarras,208.0,145.0,218.0,erp,gondola,145,285,270,51657.43,298
114.012.002,9614,Jarrinhs com Espremedor,90,JARRAS,COZINHA,Linha Jarras,160.0,132.0,110.0,erp,gondola,132,285,270,50664.54,524
092.012.003,6581,Parede com Ventosa,108,BANHEIRO,BANHO E LAVANDERIA,Linha Banheiro,136.0,95.0,75.0,erp,gondola,95,285,270,50636.38,623
277.012.002,1890,Cesto Juta com Alças,9,ORGANIZACAO,ORGANIZACAO,Linha Organização,282.0,184.0,175.0,erp,gondola,184,285,270,50511.77,90
128.012.002,6597,Cestinho para Prendedor,104,LIMPEZA,BANHO E LAVANDERIA,Linha Limpeza,240.0,188.0,110.0,erp,gondola,188,285,270,50495.34,343
256.006.M03,7959,Caixa Juta Alongada com Tampa Teca,38,TECA,COZINHA,Teca Organização,210.0,102.0,94.0,erp,gondola,102,285,270,50486.31,86
398.004.003,9718,Lixeira Flat com Clique,99,LIXEIRAS,BANHO E LAVANDERIA,Linha Lixeiras,304.0,185.0,315.0,erp,gondola,185,372,513,50066.56,232
125.012.001,253,"Nitronbox 4,3L (125)",17,ORGANIZACAO,ORGANIZACAO,Linha Organização,290.0,178.0,145.0,erp,gondola,178,372,270,49152.34,183
546.012.002,9878,Porta Escovas Flat,107,BANHEIRO,BANHO E LAVANDERIA,Linha Banheiro,80.0,80.0,208.0,erp,gondola,80,285,270,48982.58,411
147.012.607,6400,Frasqueira Cristal com Divisórias,30,FRASQUEIRAS,FRASQUEIRAS E INFANTIL,Linha Frasqueiras,150.0,125.0,95.0,erp,gondola,125,285,270,48799.35,809
199.006.001,275,Nitronbox 27L (199),16,ORGANIZACAO,ORGANIZACAO,Linha Organização,575.0,395.0,170.0,erp,fora de gondola,395,,270,48782.39,96
248.012.009,113,Pote Tomatinho Acoplado Com Rosca - 500Ml (248),46,POTES,COZINHA,Linha Potes,118.0,118.0,82.0,erp,gondola,118,285,270,48255.55,368
449.006.002,7106,Lixeira Juta com Pedal,98,LIXEIRAS,BANHO E LAVANDERIA,Linha Lixeiras,265.0,163.0,260.0,erp,gondola,163,285,513,47808.72,235
056.012.003,6263,Escorredor Luxo com Cabo,82,COZINHA,COZINHA,Linha Cozinha,385.0,250.0,115.0,erp,gondola,250,500,270,47551.82,347
259.012.003,1868,Caixa Organizadora Baixa Rattan com Tampa,6,ORGANIZACAO,ORGANIZACAO,Linha Organização,255.0,200.0,83.0,erp,gondola,200,285,270,47459.02,83
