referencia,pagina,categoria_catalogo,nome_catalogo,com_cm,lar_cm,alt_cm,litragem
258.006.003,8,ORGANIZACAO,Cesto Alongado Juta,34.5,16.5,14.5,"7,4L"
258.006.086,8,ORGANIZACAO,Cesto Alongado Juta,34.5,16.5,14.5,"7,4L"
2580.012.001,61,POTES,Pote Alto Retangular,31,19,8.5,"2,9L"
2580.012.003,61,POTES,Pote Alto Retangular,31,19,8.5,"2,9L"
259.012.002,6,ORGANIZACAO,Caixa Organizadora Baixa Rattan com Tampa,25.5,20,8.3,"3,2L"
259.012.003,6,ORGANIZACAO,Caixa Organizadora Baixa Rattan com Tampa,25.5,20,8.3,"3,2L"
259.012.086,6,ORGANIZACAO,Caixa Organizadora Baixa Rattan com Tampa,25.5,20,8.3,"3,2L"
2590.012.001,61,POTES,Pote Alto Retangular,25,15,7,"1,5L"
2590.012.003,61,POTES,Pote Alto Retangular,25,15,7,"1,5L"
260.012.002,6,ORGANIZACAO,Caixa Organizadora Baixa Rattan com Tampa,32.4,22.5,8.3,"4,5L"
260.012.003,6,ORGANIZACAO,Caixa Organizadora Baixa Rattan com Tampa,32.4,22.5,8.3,"4,5L"
260.012.086,6,ORGANIZACAO,Caixa Organizadora Baixa Rattan com Tampa,32.4,22.5,8.3,"4,5L"
261.006.002,6,ORGANIZACAO,Caixa Organizadora Baixa Rattan com Tampa,38.5,28,8.3,7L
261.006.003,6,ORGANIZACAO,Caixa Organizadora Baixa Rattan com Tampa,38.5,28,8.3,7L
261.006.086,6,ORGANIZACAO,Caixa Organizadora Baixa Rattan com Tampa,38.5,28,8.3,7L
268.006.M02,39,TECA,Caixa Juta Europa com Tampa Teca,27,20.4,15.5,"5,3L"
268.006.MO3,39,TECA,Caixa Juta Europa com Tampa Teca,,,,
268.012.002,9,ORGANIZACAO,Cesto Europa Juta,,,,"5,3L"
268.012.003,9,ORGANIZACAO,Cesto Europa Juta,,,,"5,3L"
269.004.M02,39,TECA,Caixa Juta Europa com Tampa Teca,34,24,19.2,"10,8L"
269.004.M03,39,TECA,Caixa Juta Europa com Tampa Teca,,,,
269.012.002,9,ORGANIZACAO,Cesto Europa Juta,,,,"10,8L"
269.012.003,9,ORGANIZACAO,Cesto Europa Juta,,,,"10,8L"
270.002.M02,39,TECA,Caixa Juta Europa com Tampa Teca,41,28,22.7,"18,7L"
270.002.M03,39,TECA,Caixa Juta Europa com Tampa Teca,,,,
270.006.002,9,ORGANIZACAO,Cesto Europa Juta,,,,"18,7L"
270.006.003,9,ORGANIZACAO,Cesto Europa Juta,,,,"18,7L"
277.012.002,9,ORGANIZACAO,Cesto Juta com Alças,,,,"5,6L"
277.012.003,9,ORGANIZACAO,Cesto Juta com Alças,,,,"5,6L"
279.012.024,46,POTES,com Rosca,,,,500ml
281.036.999,49,POTES,Pote Acoplado com Copo Medidor,,,,150ml
283.004.002,98,LIXEIRAS,Lixeira Juta com Pedal,,,,12L
283.004.003,98,LIXEIRAS,Lixeira Juta com Pedal,,,,12L
283.004.086,98,LIXEIRAS,Lixeira Juta com Pedal,,,,12L
284.012.002,104,LIMPEZA,Cesto Transporta Tudo,31.3,26.3,18.2,
284.012.003,104,LIMPEZA,Cesto Transporta Tudo,31.3,26.3,18.2,
293.006.002,49,POTES,Kit Potes Acoplados com 5 Peças,,,,3L
293.006.003,49,POTES,Kit Potes Acoplados com 5 Peças,,,,3L
300.012.001,60,POTES,Pote Raso Retangular Raso,20,12,4,460ml
300.012.003,60,POTES,Pote Raso Retangular Raso,20,12,4,460ml
301.012.001,60,POTES,Pote Raso Retangular Raso,25,15,5,950ml
301.012.003,60,POTES,Pote Raso Retangular Raso,25,15,5,950ml
302.012.001,60,POTES,Pote Raso Retangular Raso,31,19,6,"1,9L"
302.012.003,60,POTES,Pote Raso Retangular Raso,31,19,6,"1,9L"
303.012.001,60,POTES,Pote Raso Retangular Raso,36,21,7,"3,2L"
303.012.003,60,POTES,Pote Raso Retangular Raso,36,21,7,"3,2L"
305.006.520,79,COZINHA,,,,,
306.006.520,79,COZINHA,,,,,
307.006.520,79,COZINHA,,,,,
308.006.520,13,ORGANIZACAO,Estojo Super Prático,24.7,20.5,5.9,
311.012.001,57,POTES,Marmita e Pote 2 em 1,,,,
311.012.002,57,POTES,Marmita e Pote 2 em 1,,,,
311.012.515,57,POTES,Marmita e Pote 2 em 1,,,,
311.012.517,57,POTES,Marmita e Pote 2 em 1,,,,
313.006.560,14,ORGANIZACAO,,20.3,18.5,15.5,
313.006.561,14,ORGANIZACAO,,20.3,18.5,15.5,
313.006.562,14,ORGANIZACAO,,20.3,18.5,15.5,
314.006.560,14,ORGANIZACAO,,20.3,18.5,15.5,
314.006.561,14,ORGANIZACAO,,20.3,18.5,15.5,
314.006.562,14,ORGANIZACAO,,20.3,18.5,15.5,
317.006.P01,64,POP,Kit POP com 5 Marmitas Fits,,,,500ml
317.012.001,56,POTES,Marmita Fit,18.4,10,6.2,500ml
317.012.003,56,POTES,Marmita Fit,18.4,10,6.2,500ml
319.006.P01,65,POP,Kit POP - 6 Potes Quadrados,24,11,17.4,250ml
319.012.001,51,POTES,,,,,
319.012.003,51,POTES,,,,,
320.012.001,51,POTES,,,,,
320.012.003,51,POTES,,,,,
321.012.001,51,POTES,,,,,
321.012.003,51,POTES,,,,,
322.006.001,51,POTES,,,,,
322.006.003,51,POTES,,,,,
323.006.001,51,POTES,,,,,
323.006.003,51,POTES,,,,,
348.012.576,77,COZINHA,Porta Presunto Com Tela,20.5,12,4,460ml
349.012.575,77,COZINHA,Porta Queijo com Tela,20.5,12,4,460ml
350.012.577,77,COZINHA,Porta Frios com Tela,20.5,12,4,460ml
351.012.001,50,POTES,Kit Potes Modulares com 3 Peças,,,,250ml
351.012.003,50,POTES,Kit Potes Modulares com 3 Peças,,,,250ml
352.012.001,50,POTES,Kit Potes Modulares com 3 Peças,,,,250ml
353.006.001,50,POTES,Kit Potes Modulares com 6 Peças,,,,
353.006.003,50,POTES,Kit Potes Modulares com 6 Peças,,,,
359.012.003,48,POTES,,,,,
360.012.003,48,POTES,,,,,
361.012.003,48,POTES,,,,,
362.012.003,48,POTES,,,,,
363.012.003,48,POTES,,,,,
369.006.001,77,COZINHA,com 3 Peças,20,12,12,460ml
3760.012.001,44,POTES,Pote Quadrado com Travas,25,24,11,"3,7L"
3760.012.003,44,POTES,Pote Quadrado com Travas,25,24,11,"3,7L"
3770.012.001,44,POTES,Pote Quadrado com Travas,20,19,9,"1,8L"
3770.012.003,44,POTES,Pote Quadrado com Travas,20,19,9,"1,8L"
3780.012.001,44,POTES,Pote Quadrado com Travas,16,14,7,860ml
3780.012.003,44,POTES,Pote Quadrado com Travas,16,14,7,860ml
3790.006.862,62,POTES,,,,,
3790.006.P01,65,POP,Kit POP - 6 Potes Quadrados,,,,360ml
3790.012.001,44,POTES,Pote Quadrado com Travas,12,11,5.8,360ml
3790.012.003,44,POTES,Pote Quadrado com Travas,12,11,5.8,360ml
380.024.001,11,ORGANIZACAO,Organizador de Gavetas Modular,7.3,7,4.3,150ml
380.024.002,11,ORGANIZACAO,Organizador de Gavetas Modular,7.3,7,4.3,150ml
380.024.003,11,ORGANIZACAO,Organizador de Gavetas Modular,7.3,7,4.3,150ml
381.012.001,11,ORGANIZACAO,Organizador de Gavetas Modular,30,7.2,5.3,850ml
381.012.002,11,ORGANIZACAO,Organizador de Gavetas Modular,30,7.2,5.3,850ml
381.012.003,11,ORGANIZACAO,Organizador de Gavetas Modular,30,7.2,5.3,850ml
382.012.001,11,ORGANIZACAO,Organizador de Gavetas Modular,14.7,14.7,5.3,900ml
382.012.002,11,ORGANIZACAO,Organizador de Gavetas Modular,14.7,14.7,5.3,900ml
382.012.003,11,ORGANIZACAO,Organizador de Gavetas Modular,14.7,14.7,5.3,900ml
3820.016.644,53,POTES,Kit Pote Café e Açúcar,,,,"2,9L"
383.012.001,11,ORGANIZACAO,Organizador de Gavetas Modular,22.5,15,5.3,"1,450L"
383.012.002,11,ORGANIZACAO,Organizador de Gavetas Modular,22.5,15,5.3,"1,450L"
383.012.003,11,ORGANIZACAO,Organizador de Gavetas Modular,22.5,15,5.3,"1,450L"
384.012.001,11,ORGANIZACAO,Organizador de Gavetas Modular,15,6.8,5.3,400ml
384.012.002,11,ORGANIZACAO,Organizador de Gavetas Modular,15,6.8,5.3,400ml
384.012.003,11,ORGANIZACAO,Organizador de Gavetas Modular,15,6.8,5.3,400ml
3840.016.002,53,POTES,Kit Mantimentos  3 Peças,,,,"2,9L"
3840.016.003,53,POTES,Kit Pote Café e Açúcar,,,,"2,9L"
385.006.M00,33,TECA,Tábua de Corte Teca M,,,,
387.006.M00,33,TECA,Tábua de Corte Teca G,,,,
390.012.M00,34,TECA,Tábua com Cabo Teca  P,,,,
391.006.M00,34,TECA,Tábua com Cabo Teca M,,,,
392.006.M00,34,TECA,Tábua com Cabo Teca G,,,,
396.006.002,99,LIXEIRAS,Lixeira Flat com Pedal,,,,7L
396.006.003,99,LIXEIRAS,Lixeira Flat com Pedal,,,,7L
396.006.086,99,LIXEIRAS,Lixeira Flat com Pedal,,,,7L
397.004.002,99,LIXEIRAS,Lixeira Flat com Pedal,,,,14L
397.004.003,99,LIXEIRAS,Lixeira Flat com Pedal,,,,14L
397.004.086,99,LIXEIRAS,Lixeira Flat com Pedal,,,,14L
398.004.002,99,LIXEIRAS,Lixeira Flat com Clique,,,,12L
398.004.003,99,LIXEIRAS,Lixeira Flat com Clique,,,,12L
398.004.086,99,LIXEIRAS,Lixeira Flat com Clique,,,,12L
399.012.007,67,INFANTIL,Porta Leite em Pó,,,,280ml
399.012.008,67,INFANTIL,Porta Leite em Pó,,,,280ml
400.024.002,94,DECOR,Abridor de Tampas Apertadas,,,,
4010.012.003,81,COZINHA,Açucareiro com Tampa,12.9,7.9,15.7,836ml
403.024.002,95,DECOR,Kit Biscoito Fácil,,,,
4030.012.003,81,COZINHA,Porta Farofa com Tampa,12.9,7.9,15.7,836ml
4040.012.003,81,COZINHA,Saleiro com Tampa,12.9,7.9,15.7,836ml
408.012.002,94,DECOR,Kit Churros Fácil,,,,
419.024.002,93,DECOR,Cortador de Batatas,,,,
421.024.002,93,DECOR,Cortador e Ralador de Legumes,,,,
422.024.002,95,DECOR,Kit Decorador de Bolo com 7 Peças,,,,
423.024.002,95,DECOR,Cj. Bico Russo Confeiteiro com 5 Peças,,,,
427.024.002,83,COZINHA,Escorredor Quadrado,25.5,24.2,11,
427.024.003,83,COZINHA,Escorredor Quadrado,25.5,24.2,11,
429.024.002,83,COZINHA,Escorredor Meia Lua,36.6,12,1.1,
429.024.003,83,COZINHA,Escorredor Meia Lua,36.6,12,1.1,
434.024.002,94,DECOR,Kit Donuts,,,,
435.012.002,93,DECOR,Hamburgueira,,,,
438.006.M00,33,TECA,Tábua de Corte Teca Extra G,,,,
443.006.M00,33,TECA,Tábua de Corte Teca G com Alça de Metal,,,,
444.012.001,14,ORGANIZACAO,Para Gavetas,27,17.5,3,
445.012.001,14,ORGANIZACAO,Cosméticos e Bijou,21,13,8,
446.012.001,14,ORGANIZACAO,Pincéis e Acessórios,13,9.5,10.5,
449.006.002,98,LIXEIRAS,Lixeira Juta com Pedal,,,,6L
449.006.003,98,LIXEIRAS,Lixeira Juta com Pedal,,,,6L
449.006.086,98,LIXEIRAS,Lixeira Juta com Pedal,,,,6L
450.012.002,98,LIXEIRAS,Lixeira Juta com Clique,,,,"4,5L"
450.012.003,98,LIXEIRAS,Lixeira Juta com Clique,,,,"4,5L"
450.012.086,98,LIXEIRAS,Lixeira Juta com Clique,,,,"4,5L"
453.012.002,97,LIXEIRAS,Lixeira Rattan com Clique,,,,"4,5L"
453.012.003,97,LIXEIRAS,Lixeira Rattan com Clique,,,,"4,5L"
453.012.086,97,LIXEIRAS,Lixeira Rattan com Clique,,,,"4,5L"
458.024.002,79,COZINHA,Porta Leite de Saquinho,17.5,6.5,16.1,
458.024.003,79,COZINHA,Porta Leite de Saquinho,16,12,15,
501.012.001,10,ORGANIZACAO,Caixa Organizadora Flat com Tampa,25,11.5,10.8,"2,35L"
501.012.002,10,ORGANIZACAO,Caixa Organizadora Flat com Tampa,25,11.5,10.8,"2,35L"
501.012.003,10,ORGANIZACAO,Caixa Organizadora Flat com Tampa,25,11.5,10.8,"2,35L"
501.012.086,10,ORGANIZACAO,Caixa Organizadora Flat com Tampa,25,11.5,10.8,"2,35L"
502.012.001,10,ORGANIZACAO,Caixa Organizadora Flat com Tampa,25.2,17.5,10.7,"3,75L"
502.012.002,10,ORGANIZACAO,Caixa Organizadora Flat com Tampa,25.2,17.5,10.7,"3,75L"
502.012.003,10,ORGANIZACAO,Caixa Organizadora Flat com Tampa,25.2,17.5,10.7,"3,75L"
502.012.086,10,ORGANIZACAO,Caixa Organizadora Flat com Tampa,25.2,17.5,10.7,"3,75L"
503.006.001,10,ORGANIZACAO,Caixa Organizadora Flat com Tampa,35.3,26.1,13.9,"10,3L"
503.006.002,10,ORGANIZACAO,Caixa Organizadora Flat com Tampa,35.3,26.1,13.9,"10,3L"
503.006.003,10,ORGANIZACAO,Caixa Organizadora Flat com Tampa,35.3,26.1,13.9,"10,3L"
503.006.086,10,ORGANIZACAO,Caixa Organizadora Flat com Tampa,35.3,26.1,13.9,"10,3L"
507.004.M03,34,TECA,Teca com Gaveta,,,,
545.012.002,73,COZINHA,Porta Detergente e Esponja Flat,20.5,8.7,6,
545.012.003,73,COZINHA,Porta Detergente e Esponja Flat,20.5,8.7,6,
545.012.086,73,COZINHA,Porta Detergente e Esponja Flat,20.5,8.7,6,
546.006.086,107,BANHEIRO,Porta Escovas Flat,8,8,20.8,
546.012.002,107,BANHEIRO,Porta Escovas Flat,8,8,20.8,
546.012.003,107,BANHEIRO,Porta Escovas Flat,8,8,20.8,
547.012.002,107,BANHEIRO,Porta Algodão e Cotonete Flat,8,8,13.5,
547.012.003,107,BANHEIRO,Porta Algodão e Cotonete Flat,8,8,13.5,
547.012.086,107,BANHEIRO,Porta Algodão e Cotonete Flat,8,8,13.5,
548.024.002,107,BANHEIRO,Saboneteira com Tela Flat,10.6,7.6,2.3,
548.024.003,107,BANHEIRO,Saboneteira com Tela Flat,10.6,7.6,2.3,
548.024.086,107,BANHEIRO,Saboneteira com Tela Flat,10.6,7.6,2.3,
549.024.998,69,REALCE,Sortido 4 Estampas,,,,
549.024.999,69,REALCE,Sortido 4 Estampas,,,,600ML
550.036.998,69,REALCE,Sortido 6 Estampas,10.9,8.5,10,
550.036.999,69,REALCE,Sortido 6 Estampas,10.9,8.5,10,350ML
552.002.M02,39,TECA,Cesto de Roupa Empilhável com Teca,35,34.5,49.5,"43,8L"
552.002.M03,39,TECA,Cesto de Roupa Empilhável com Teca,35,34.5,49.5,"43,8L"
552.004.002,103,LIMPEZA,Cesto de Roupas Empilhável,35,34.5,49.5,"43,8L"
552.004.003,103,LIMPEZA,Cesto de Roupas Empilhável,,,,
553.012.002,73,COZINHA,Porta Sabonete Líquido Flat,7.9,7.9,16,500ml
553.012.003,73,COZINHA,Porta Sabonete Líquido Flat,7.9,7.9,16,500ml
553.012.086,73,COZINHA,Porta Sabonete Líquido Flat,7.9,7.9,16,500ml
554.006.P01,65,POP,Kit POP - 6 Potes Tampas Fixa,30,13,23.1,330ml
554.012.001,41,POTES,Pote com Tampa Fixa,12.3,8,6,330ml
554.012.003,41,POTES,Pote com Tampa Fixa,12.3,8,6,330ml
555.006.P01,65,POP,Kit POP - 6 Potes Tampas Fixa,19.8,11.7,24,600ml
555.012.001,41,POTES,Pote com Tampa Fixa,15,10.5,6.5,600ml
555.012.003,41,POTES,Pote com Tampa Fixa,15,10.5,6.5,600ml
556.012.001,41,POTES,Pote com Tampa Fixa,17.5,13,7.7,1L
556.012.003,41,POTES,Pote com Tampa Fixa,17.5,13,7.7,1L
562.004.M00,35,TECA,Tábua de Pizza com Cabo Teca,,,,
563.004.M00,35,TECA,Tábua Brotinho com Cabo Teca,,,,
6120.006.P01,64,POP,Kit POP - 6 Potes Retangulares,14,10,24,500ml
6120.050.001,54,POTES,Pote Raso com Travas,16.6,11.2,7.8,500ml
6130.030.001,54,POTES,Pote Raso Retangular com 3 Peças,16.6,11.2,11.7,500ml
625.002.M00,35,TECA,Teca Grande Gourmet,,,,
680.004.M00,36,TECA,Boleira Teca Com Acrílico,,,,
681.004.M00,36,TECA,Queijeira Teca com Acrílico,,,,
682.004.M00,37,TECA,Base Teca com 3 Molheiras,,,,
683.004.M00,37,TECA,Base Teca com 2 Molheiras,,,,
684.004.M00,36,TECA,com Cabo E 2 Molheiras,,,,
685.004.M00,37,TECA,Tábua de Servir Teca com 1 Molheira,,,,
686.004.M00,37,TECA,Tábua de Servir Teca Com 3 Molheiras,,,,
689.004.M00,36,TECA,com Cabo e 1 Molheira,,,,
695.002.M00,35,TECA,Teca Quadrada Gourmet,,,,
700.006.001,27,GELADEIRA,Organizador de Geladeira Rattan,38.2,27.5,8.2,7L
701.006.001,27,GELADEIRA,Organizador de Geladeira Rattan,31.9,22,8.2,7L
702.006.001,27,GELADEIRA,Organizador de Geladeira Rattan,25,19.5,8.2,7L
703.006.001,27,GELADEIRA,Organizador de Geladeira Rattan,25,19.5,10.4,4L
704.006.01,27,GELADEIRA,Organizador de Geladeira Rattan,20.3,15.4,9.2,2L
705.006.001,27,GELADEIRA,Organziador de Geladeira Juta,27.7,13.2,11.8,"3,7L"
706.006.001,27,GELADEIRA,Organziador de Geladeira Juta,20.8,10,8.7,"1,5L"
712.012.001,27,GELADEIRA,Organizador de Geladeira Flat,25,11.5,10.8,"2,35L"
713.012.001,27,GELADEIRA,Organizador de Geladeira Flat,25.2,17.5,10.8,"3,75L"
817.012.001,55,POTES,Pote Alto com Válvula,25,15,7,"1,5L"
818.012.001,55,POTES,ao micro-ondas,31,19,9,"2,9L"
819.012.001,55,POTES,ao micro-ondas,36,21,9,"4,6L"
820.006.002,72,COZINHA,Escorredor de Pratos Flat,41.5,26.8,12,
820.006.003,72,COZINHA,Escorredor de Pratos Flat,41.5,26.8,12,
820.006.086,72,COZINHA,Escorredor de Pratos Flat,41.5,26.8,12,
821.004.001,41,POTES,Pote com Tampa Fixa,17.5,13,7.7,1L
821.004.003,41,POTES,Pote com Tampa Fixa,17.5,13,7.7,1L
822.006.002,72,COZINHA,Escorredor de Talheres Flat,15.3,10,10,
822.006.003,72,COZINHA,Escorredor de Talheres Flat,15.3,10,10,
822.006.086,72,COZINHA,Escorredor de Talheres Flat,15.3,10,10,
850.004.N03,21,NITRON-MOB,Arara de Roupas Nitron-Mob,,,,
851.004.N03,24,NITRON-MOB,Sapateira Pequena,,,,
852.004.N03,24,NITRON-MOB,Sapateira Grande,,,,
853.004.N03,21,NITRON-MOB,Kit Suporte Decorativo,,,,
855.004.N03,24,NITRON-MOB,Prateleira Multiuso G 2P,,,,
856.004.N03,25,NITRON-MOB,Prateleira Multiuso G 3P,,,,
857.004.N03,25,NITRON-MOB,Prateleira Multiuso G 4P,,,,
858.004.N03,23,NITRON-MOB,Prateleira Multiuso M 2P,,,,
859.004.N03,23,NITRON-MOB,Prateleira Multiuso M 3P,,,,
860.004.N03,23,NITRON-MOB,Prateleira Multiuso M 4P,,,,
861.004.N03,22,NITRON-MOB,Prateleira Multiuso P 2P,,,,
862.004.N03,22,NITRON-MOB,Prateleira Multiuso P 3P,,,,
863.004.N03,22,NITRON-MOB,Prateleira Multiuso P 4P,,,,
920.004.002,73,COZINHA,Kit Detergente Flat com 2 Peças,20.4,8.6,16.3,
920.004.003,73,COZINHA,Kit Detergente Flat com 2 Peças,20.4,8.6,16.3,
920.004.086,73,COZINHA,Kit Detergente Flat com 2 Peças,20.4,8.6,16.3,
