referencia;codprod;descrprod;nomegrupo;peso_bruto;peso_liquido;unidade_medida;qtd_por_embalagem
258.004.M02;7952;CAIXA JUTA ALONGADA COM TAMPA TECA - BRANCA 7,4L;Teca Organização;0.593573;0.593573;PC;4
077.012.002;5900;ESCORREDOR IDEAL - BRANCO;Linha Cozinha;0.0825;0.08;PC;12
2232.012.009;224;PORTA FRIOS DUPLO COM TELA (223/2);Linha Cozinha;0.2405;0.238;CJ;12
2270.012.003;14051;POTE REDONDO COM TRAVAS - PRETO 2,3L (022/7);Linha Potes;0.1325;0.13;PC;12
211.012.003;3346;CANTONEIRA PARA BANHEIRO SMART - PRETO (211/P);Linha Banheiro;0.2225;0.22;PC;12
241.024.001;107;POTE RASO COM VALVULA - 460ML (241);Linha Potes;0.06425;0.063;PC;24
041.012.086;11825;ORGANIZADOR MULTIUSO RATTAN COM 3 DIVISORIAS - CHUMBO;Linha Organização;0.1205;0.118;PC;12
130.012.002;3290;LIXEIRA RETRATIL - BRANCA 4L (130/B);Linha Lixeiras;0.1725;0.17;PC;12
137.012.009;6599;FRASQUEIRA MEDICAMENTOS - VERMELHA 2,8L;Linha Frasqueiras;0.1825;0.18;PC;12
202.006.012;7103;FRASQUEIRA OVAL COM BANDEJA - ROSA;Linha Frasqueiras;0.325;0.32;PC;6
450.012.002;7117;LIXEIRA JUTA COM CLIQUE - BRANCA 4,5L;Linha Lixeiras;0.7525;0.75;PC;12
090.012.002;6658;SALEIRO RUBI - TRANSPARENTE E BRANCO 1 KG;Linha Cozinha;0.0725;0.07;PC;12
170.006.027;6718;CAIXA DE FERRAMENTAS NITRONFORT - AMARELA 16L;Linha Organização;0.815;0.81;PC;6
017.024.999;229;PA DE LIXO INOVA (017);Linha Limpeza;0.08025;0.079;PC;24
133.012.086;11862;PORTA DETERGENTE RATTAN COM BASE - CHUMBO;Linha Cozinha;0.1175;0.115;PC;12
257.006.M02;7956;CAIXA JUTA ALONGADA COM TAMPA TECA - BRANCA 3,7L;Teca Organização;0.35805;0.35805;PC;6
302.012.001;4051;POTE RASO RETANGULAR - TRANSPARENTE 1,9L;Linha Potes;0.1425;0.14;PC;12
446.012.001;8101;ORGANIZADOR DE PINCEIS E ACESSORIOS;Linha Organização;0.1825;0.18;PC;12
051.012.002;3300;PORTA DETERGENTE 3 EM 1 - BRANCO (051/B);Linha Cozinha;0.0725;0.07;PC;12
076.024.001;6577;SABONETEIRA COM TAMPA - TRANSPARENTE;Linha Banheiro;0.02125;0.02;PC;24
068.012.086;11854;CAIXA ORGANIZADORA RATTAN COM TAMPA - CHUMBO 8L;Linha Organização;0.4005;0.398;PC;12
028.012.002;5896;ESCORREDOR DE ARROZ TRADICIONAL - BRANCO;Linha Cozinha;0.0925;0.09;PC;12
259.012.002;1867;CAIXA ORGANIZADORA BAIXA RATTAN COM TAMPA - BRANCA 3,2L (259/B);Linha Organização;0.2025;0.2;PC;12
123.012.045;6714;CAIXA DE FERRAMENTAS NITRONFORT - AZUL 2,2L;Linha Frasqueiras;0.2525;0.25;PC;12
116.012.002;3318;PORTA DETERGENTE COM TELINHA - BRANCO (116/B);Linha Cozinha;0.0625;0.06;PC;12
348.012.576;6093;PORTA PRESUNTO COM TELA;Linha Potes;0.0825;0.08;PC;12
075.024.001;498;SANDUICHEIRA PRATIC - 600ML (075);Linha Cozinha;0.08025;0.079;PC;24
3840.016.003;130;KIT MANTIMENTOS COM 3 PECAS - PRETO (038/4);Linha Potes;0.263875;0.262;CJ;16
047.012.003;302;CESTO ORGANIZADOR VIME - PRETO 7L (047/P);Linha Organização;0.2155;0.213;PC;12
552.004.002;9898;CESTO DE ROUPAS EMPILHAVEL - BRANCO 43,8L;Linha Limpeza;1.1975;1.19;PC;4
198.012.066;6617;ESTOJO SUPER PRATICO - FUME;Linha Organização;0.0425;0.04;PC;12
269.012.002;1902;CESTO EUROPA JUTA - BRANCO 10,8L (269/B);Linha Organização;0.4525;0.45;PC;12
193.024.066;6616;SABONETEIRA COM TELINHA - FUME;Linha Banheiro;0.03125;0.03;PC;24
231.012.001;4067;POTE RASO COM TRAVAS - TRANSPARENTE 270ML;Linha Potes;0.0425;0.04;PC;12
450.012.003;7120;LIXEIRA JUTA COM CLIQUE - PRETA 4,5L;Linha Lixeiras;0.7525;0.75;PC;12
246.024.001;112;POTE ALTO COM VALVULA - 868ML (246);Linha Potes;0.07325;0.072;PC;24
214.006.086;11883;ORGANIZADOR MULTIUSO RATTAN COM 6 DIVISORIAS - CHUMBO;Linha Organização;0.235;0.23;PC;6
064.012.547;4266;JARRA COM TUBO PARA GELO - VERMELHO 2L;Linha Jarras;0.1925;0.19;PC;12
2280.012.001;4035;POTE REDONDO COM TRAVAS - TRANSPARENTE 1,1L;Linha Potes;0.0825;0.08;PC;12
067.012.002;6269;SALEIRO - TRANSPARENTE E BRANCO;Linha Cozinha;0.0825;0.08;PC;12
546.012.003;9879;PORTA ESCOVAS FLAT - PRETO;Linha Banheiro;0.0695;0.067;PC;12
162.012.003;3269;CESTO COM ALCA - PRETO 8,5L (162/P);Linha Organização;0.2825;0.28;PC;12
239.012.001;11909;POTE ACOPLADO COM ROSCA - TRANSPARENTE 3L;Linha Potes;0.1425;0.14;PC;12
3790.012.001;4099;POTE QUADRADO COM TRAVAS - TRANSPARENTE 360ML;Linha Potes;0.0425;0.04;PC;12
069.006.086;11855;CAIXA ORGANIZADORA RATTAN COM TAMPA - CHUMBO 16L;Linha Organização;0.554;0.549;PC;6
221.012.002;6290;SALEIRO PREMIER COM ALCA - TRANSPARENTE E BRANCO 1 KG;Linha Cozinha;0.0925;0.09;PC;12
270.006.002;1896;CESTO EUROPA JUTA - BRANCO 18,7L (270/B);Linha Organização;0.695;0.69;PC;6
045.012.001;1602;FORMA DE PUDIM PARA MICRO-ONDAS COM TAMPA 1,9L (045);Linha Micro-ondas;0.1575;0.155;PC;12
020.024.001;178;FORMA DE PUDIM PARA MICRO-ONDAS 1,9L (020);Linha Micro-ondas;0.09925;0.098;PC;24
047.012.002;298;CESTO ORGANIZADOR VIME - BRANCO 7L (047/B);Linha Organização;0.2155;0.213;PC;12
396.006.086;11990;LIXEIRA FLAT COM PEDAL - CHUMBO 7L;Linha Lixeiras;0.38;0.375;PC;6
140.012.066;6601;ESTOJO MULTI USO - FUME;Linha Organização;0.0725;0.07;PC;12
700.006.001;4180;ORGANIZADOR DE GELADEIRA RATTAN - 7L;Linha Geladeira;0.235;0.23;PC;6
224.012.086;11885;PORTA TALHER ESCORRE E GUARDA - CHUMBO;Linha Cozinha;0.1525;0.15;PC;12
269.012.003;1903;CESTO EUROPA JUTA - PRETO 10,8L (269/P);Linha Organização;0.4525;0.45;PC;12
680.004.M00;12039;BOLEIRA TECA COM ACRILICO;Teca Cozinha;0.8525;0.8525;PC;4
553.012.002;9900;PORTA SABAO LIQUIDO FLAT - BRANCO 500ML;Linha Limpeza;0.0575;0.055;PC;12
4040.012.003;3616;SALEIRO C/ TAMPA 836 ML (040/SG);Linha Cozinha;0.0725;0.07;PC;12
705.006.001;4175;ORGANIZADOR DE GELADEIRA JUTA - 3,7L;Linha Geladeira;0.185;0.18;PC;6
507.004.M03;8649;TABUA DE CORTE TECA COM GAVETA DE SERVIR - PRETA 2L;Teca Cozinha;0.2675;0.26;PC;4
055.012.002;6257;ESCORREDOR MULTI USO - BRANCO;Linha Cozinha;0.1125;0.11;PC;12
322.006.001;4383;POTE MODULAR - TRANSPARENTE 1,2L;Linha Potes;0.205;0.2;PC;6
703.006.001;4178;ORGANIZADOR DE GELADEIRA RATTAN - 4L;Linha Geladeira;0.175;0.17;PC;6
249.012.020;114;POTE TEMPEROS ACOPLADO COM ROSCA - 500ML (249);Linha Potes;0.0615;0.059;PC;12
207.024.001;215;JARRA MEDIDORA TOP MIX;Linha Jarras;0.08325;0.082;PC;24
096.012.002;52;ESCORREDOR DE PRATOS RATTAN - BRANCO (096/B);Linha Cozinha;0.2695;0.267;PC;12
268.012.002;1908;CESTO EUROPA JUTA - BRANCO 5,3L (268/B);Linha Organização;0.2625;0.26;PC;12
270.002.M03;8617;CAIXA JUTA EUROPA COM TAMPA TECA - PRETA 18,7L;Teca Organização;1.078;1.063;PC;2
502.012.002;8606;CAIXA ORGANIZADORA FLAT COM TAMPA - BRANCA 3,75L;Linha Organização;0.2095;0.207;PC;12
421.024.002;8019;CORTADOR E RALADOR DE LEGUMES - BRANCO;Decor-Chef;0.18125;0.18;PC;24
205.006.862;3599;KIT POTE FIT COLORATTO COM 3 PECAS - 450ML (290/K);Linha Coloratto;0.145;0.14;PC;6
313.006.561;4433;ORGANIZADOR DE COSMETICOS COM 2 GAVETAS - BRANCA;Linha Organização;0.454;0.449;PC;6
545.012.002;9875;PORTA DETERGENTE E ESPONJA FLAT - BRANCO;Linha Cozinha;0.0615;0.059;PC;12
062.012.086;11831;CAIXA ORGANIZADORA RATTAN COM TAMPA - CHUMBO 4L;Linha Organização;0.2405;0.238;PC;12
123.012.027;7069;CAIXA DE FERRAMENTAS NITRONFORT - AMARELA 2,2L;Linha Frasqueiras;0.2525;0.25;PC;12
016.012.002;3296;ESCORREDOR DE TALHERES MAX - BRANCO (016/B);Linha Cozinha;0.0825;0.08;PC;12
111.012.002;9612;ESPREMEDOR PORTATIL FIT - BRANCO 510ML;Linha Jarras;0.0925;0.09;PC;12
132.036.683;25;PRATO UNITARIO (132);Linha Infantil;0.064833;0.064;PC;36
195.006.609;6388;FRASQUEIRA CRISTAL COM DIVISORIAS - PRETO 1,5L;Linha Frasqueiras;0.205;0.2;PC;6
501.012.002;8604;CAIXA ORGANIZADORA FLAT COM TAMPA - BRANCA 2,35L;Linha Organização;0.1515;0.149;PC;12
162.012.002;3325;CESTO COM ALCA - BRANCO 8,5L (162/B);Linha Organização;0.2825;0.28;PC;12
314.006.561;4434;ORGANIZADOR DE COSMETICOS COM 1 GAVETA - BRANCA;Linha Organização;0.325;0.32;PC;6
397.004.086;11991;LIXEIRA FLAT COM PEDAL - CHUMBO 14L;Linha Lixeiras;0.3825;0.375;PC;4
158.024.029;86;POTE FEIJAO COM TRAVAS - 850ML (158);Linha Potes;0.06525;0.064;PC;24
701.006.001;4177;ORGANIZADOR DE GELADEIRA RATTAN - 4,5L;Linha Geladeira;0.195;0.19;PC;6
301.012.001;4049;POTE RASO RETANGULAR - TRANSPARENTE 950ML;Linha Potes;0.0925;0.09;PC;12
236.012.001;11904;POTE ACOPLADO COM ROSCA - TRANSPARENTE 1L;Linha Potes;0.0825;0.08;PC;12
191.012.001;4077;POTE COM 2 DIVISORIAS - TRANSPARENTE 720ML;Linha Potes;0.1025;0.1;PC;12
503.006.086;12003;CAIXA ORGANIZADORA FLAT COM TAMPA - CHUMBO 10,35L;Linha Organização;0.401;0.396;PC;6
308.006.520;4256;ORGANIZA E GUARDA COM 4 DIVISORIAS;Linha Cozinha;0.135;0.13;PC;6
033.012.002;9609;JARRA COM ESPREMEDOR - BRANCO 2L;Linha Jarras;0.1525;0.15;PC;12
114.012.002;9614;JARRINHA COM ESPREMEDOR - BRANCO 500ML;Linha Jarras;0.0625;0.06;PC;12
092.012.003;6581;SABONETEIRA DE PAREDE COM VENTOSA - PRETO;Linha Banheiro;0.0625;0.06;PC;12
277.012.002;1890;Cesto Juta com Alça - Branco 5,6L (277/B);Linha Organização;0.2525;0.25;PC;12
128.012.002;6597;CESTINHO PARA PRENDEDOR - BRANCO;Linha Limpeza;0.0925;0.09;PC;12
256.006.M03;7959;CAIXA JUTA ALONGADA COM TAMPA TECA - PRETA 1,5L;Teca Organização;0.253;0.248;PC;6
398.004.003;9718;LIXEIRA FLAT COM CLIQUE - PRETA 12L;Linha Lixeiras;0.4725;0.465;PC;4
125.012.001;253;NITRONBOX 4,3L (125);Linha Organização;0.2415;0.239;PC;12
546.012.002;9878;PORTA ESCOVAS FLAT - BRANCO;Linha Banheiro;0.0695;0.067;PC;12
147.012.607;6400;FRASQUEIRA MINI - ROSA 1L;Linha Frasqueiras;0.0925;0.09;PC;12
199.006.001;275;NITRONBOX 27L (199);Linha Organização;1.185;1.18;PC;6
248.012.009;113;POTE TOMATINHO ACOPLADO COM ROSCA - 500ML (248);Linha Potes;0.0615;0.059;PC;12
449.006.002;7106;LIXEIRA JUTA COM PEDAL - BRANCA 6L;Linha Lixeiras;0.755;0.75;PC;6
056.012.003;6263;ESCORREDOR LUXO COM CABO - PRETO;Linha Cozinha;0.1225;0.12;PC;12
259.012.003;1868;CAIXA ORGANIZADORA BAIXA RATTAN COM TAMPA - PRETA 3,2L (259/P);Linha Organização;0.2025;0.2;PC;12
270.002.M02;8616;CAIXA JUTA EUROPA COM TAMPA TECA - BRANCA 18,7L;Teca Organização;1.06764;1.06764;PC;2
177.012.003;3335;CESTO COM ALCA - PRETO 5L (177/P);Linha Organização;0.1405;0.138;PC;12
251.012.001;6646;CACAROLA MINI MICRO-ONDAS - TRANSPARENTE 850ML;Linha Micro-ondas;0.0625;0.06;PC;12
212.012.003;6676;POTE COM TRAVAS E 2 DIVISORIAS - PRETO 600ML;Linha Potes;0.1025;0.1;CJ;12
2500.012.001;4102;POTE ALTO RETANGULAR - TRANSPARENTE 868ML;Linha Potes;0.0725;0.07;PC;12
260.012.002;1864;CAIXA ORGANIZADORA BAIXA RATTAN COM TAMPA - BRANCA 4,5L (260/B);Linha Organização;0.2925;0.29;PC;12
419.024.002;8021;CORTADOR DE BATATAS - BRANCO;Decor-Chef;0.18125;0.18;PC;24
165.006.002;3327;ESCORREDOR DE PRATOS - BRANCO (165/B);Linha Cozinha;0.515;0.51;PC;6
385.006.M00;8624;TABUA DE CORTE TECA - M;Teca Tábuas;1.1935;1.1935;PC;6
501.012.001;8862;CAIXA ORGANIZADORA FLAT COM TAMPA - TRANSPARENTE 2,35L;Linha Organização;0.1515;0.149;PC;12
012.012.016;6697;PORTA SABAO EM PO 600 G;Linha Limpeza;0.0725;0.07;PC;12
088.012.547;4269;JARRA ESTRELA COM TAMPA - VERMELHO 1,6L;Linha Jarras;0.1025;0.1;PC;12
256.006.M02;7960;CAIXA JUTA ALONGADA COM TAMPA TECA - BRANCA 1,5L;Teca Organização;0.21483;0.21483;PC;6
706.006.001;4174;ORGANIZADOR DE GELADEIRA JUTA - 1,5L;Linha Geladeira;0.105;0.1;PC;6
177.012.002;3334;CESTO COM ALCA - BRANCO 5L (177/B);Linha Organização;0.1405;0.138;PC;12
222.012.002;9618;JARRA COM TAMPA FLIP TOP - BRANCO 1,4L;Linha Jarras;0.1225;0.12;PC;12
121.012.003;6279;ESCORREDOR DE ARROZ CARIBE - PRETO;Linha Cozinha;0.0725;0.07;PC;12
239.012.002;6643;POTE ACOPLADO COM ROSCA - BRANCO 3L;Linha Potes;0.1425;0.14;PC;12
173.012.003;7135;LIXEIRA FENIX - PRETA 4,2L;Linha Lixeiras;0.2125;0.21;PC;12
556.012.001;9917;POTE COM TAMPA FIXA - TRANSPARENTE 1L;Linha Potes;0.00858;0.00833;PC;12
2290.006.862;3671;KIT POTE REDONDO COLORATTO COM 3 PECAS - 450ML (304/K);Linha Coloratto;0.145;0.14;PC;6
319.012.001;4374;POTE MODULAR - TRANSPARENTE 250ML;Linha Potes;0.0425;0.04;PC;12
2590.012.003;14054;POTE ALTO RETANGULAR - PRETO 1,5L;Linha Potes;0.1025;0.1;PC;12
502.012.003;8607;CAIXA ORGANIZADORA FLAT COM TAMPA - PRETA 3,75L;Linha Organização;0.2095;0.207;PC;12
051.012.086;11827;PORTA DETERGENTE 3 EM 1 - CHUMBO;Linha Cozinha;0.0725;0.07;PC;12
209.012.003;6620;MARMITA COM PORTA TALHERES - PRETO 715ML;Linha Potes;0.1125;0.11;PC;12
3840.016.002;11989;KIT MANTIMENTOS COM 3 PECAS - BRANCO;Linha Potes;0.263875;0.262;CJ;16
6120.050.001;132;POTE RASO RETANGULAR COM 2 PECAS - 500ML (061/2);Linha Potes;0.0736;0.073;CJ;50
006.030.999;471;COPO BABY COM TAMPA - SORTIDO 250 ML (006);Linha Infantil;0.032;0.031;PC;30
311.012.517;4244;MAMITA E POTE 2 EM 1 - VERDE 780ML;Linha Potes;0.1225;0.12;PC;12
010.012.001;7186;CABIDE COM 3 PECAS - TRANSPARENTE;Linha Organização;0.1325;0.13;CJ;12
6130.030.001;133;POTE RASO RETANGULAR COM 3 PECAS - 500ML (061/3);Linha Potes;0.109;0.108;CJ;30
236.012.002;6635;POTE ACOPLADO COM ROSCA - BRANCO 1L;Linha Potes;0.0825;0.08;PC;12
403.024.002;9192;KIT BISCOITO FACIL - BRANCO;Decor-Confeitaria;0.07125;0.07;PC;24
024.012.002;6553;CESTINHO PARA PRENDEDOR FLORAL - BRANCO;Linha Limpeza;0.1325;0.13;PC;12
269.004.M02;8614;CAIXA JUTA EUROPA COM TAMPA TECA - BRANCA 10,8L;Teca Organização;0.75888;0.75888;PC;4
039.012.003;6261;ESCORREDOR BASICO COM CABO - PRETO;Linha Cozinha;0.0825;0.08;PC;12
681.004.M00;12040;QUEIJEIRA TECA COM ACRILICO;Teca Cozinha;0.371349;0.371349;PC;4
064.012.002;9610;JARRA COM TUBO PARA GELO - BRANCO 2L;Linha Jarras;0.1925;0.19;PC;12
024.012.003;6554;CESTINHO PARA PRENDEDOR FLORAL - PRETO;Linha Limpeza;0.1325;0.13;PC;12
238.012.002;6640;POTE ACOPLADO BRANCO C/ROSCA 2L;Linha Potes;0.1125;0.11;PC;12
091.012.003;6660;LIXEIRA VERONA - PRETA 4L;Linha Lixeiras;0.1425;0.14;PC;12
157.024.009;85;POTE TOMATINHO COM TRAVAS - 850ML (157);Linha Potes;0.06525;0.064;PC;24
300.012.001;4054;POTE RASO RETANGULAR - TRANSPARENTE 460ML;Linha Potes;0.0425;0.04;PC;12
279.012.024;1639;POTE ALHO ACOPLADO COM ROSCA - 500ML (279);Linha Potes;0.0615;0.059;PC;12
202.006.009;11881;FRASQUEIRA MEDICAMENTOS OVAL COM BANDEJA - VERMELHA 4,4L;Linha Frasqueiras;0.325;0.32;PC;6
154.006.861;3612;KIT POTE ALTO COLORATTO COM 2 PECAS - 460ML (286/K);Linha Coloratto;0.095;0.09;PC;6
314.006.560;4437;ORGANIZADOR DE COSMETICOS COM 1 GAVETA - PRETA;Linha Organização;0.325;0.32;PC;6
269.004.M03;8615;CAIXA JUTA EUROPA COM TAMPA TECA - PRETA 10,8L;Teca Organização;0.4375;0.43;PC;4
351.012.001;6096;KIT POTES MODULARES COM 3 PECAS - TRANSPARENTE 250ML;Linha Potes;0.0425;0.04;PC;12
268.006.M02;8610;CAIXA JUTA EUROPA COM TAMPA TECA - BRANCA 5,3L;Teca Organização;0.480578;0.480578;PC;6
277.012.003;1891;CESTO JUTA COM ALCA - PRETO 5,6L (277/P);Linha Organização;0.2525;0.25;PC;12
702.006.001;4179;ORGANIZADOR DE GELADEIRA RATTAN - 3,2L;Linha Geladeira;0.145;0.14;PC;6
501.012.086;11806;CAIXA ORGANIZADORA FLAT COM TAMPA - CHUMBO 2,35L;Linha Organização;0.1515;0.149;PC;12
059.012.086;11829;ESCORREDOR DE PRATOS - CHUMBO;Linha Cozinha;0.2725;0.27;PC;12
552.004.003;9899;CESTO DE ROUPAS EMPILHAVEL - PRETO 43,8L;Linha Limpeza;1.1975;1.19;PC;4
321.012.001;4380;POTE MODULAR - TRANSPARENTE 800ML;Linha Potes;0.1325;0.13;PC;12
3790.006.862;11987;KIT POTE QUADRADO COLORATTO COM 3 PECAS - 370ML;Linha Coloratto;0.12;0.115;CJ;6
173.012.002;3331;LIXEIRA FENIX - BRANCA 4,2L (173/B);Linha Lixeiras;0.2125;0.21;PC;12
548.024.002;9884;SABONETEIRA COM TELA FLAT - BRANCO;Linha Banheiro;0.02525;0.024;PC;24
548.024.003;9885;SABONETEIRA COM TELA FLAT - PRETO;Linha Banheiro;0.02525;0.024;PC;24
161.012.002;3322;PORTA TUDO - BRANCO 1L (161/B);Linha Organização;0.0725;0.07;PC;12
113.012.003;6277;TANQUINHO PORTA SABAO EM BARRA - PRETO;Linha Limpeza;0.0925;0.09;PC;12
188.012.003;3338;ESCORREDOR DE PRATOS SUPER PRATICO - PRETO (188/P);Linha Cozinha;0.2425;0.24;PC;12
260.012.003;1860;CAIXA ORGANIZADORA BAIXA RATTAN COM TAMPA - PRETA 4,5L (260/P);Linha Organização;0.2925;0.29;PC;12
065.012.086;11853;CAIXA ORGANIZADORA RATTAN COM TAMPA - CHUMBO 2L;Linha Organização;0.1525;0.15;PC;12
311.012.515;4242;MAMITA E POTE 2 EM 1 - ROSA 780ML;Linha Potes;0.1225;0.12;PC;12
502.012.086;12002;CAIXA ORGANIZADORA FLAT COM TAMPA - CHUMBO 3,75L;Linha Organização;0.2095;0.207;PC;12
172.012.998;14018;PA DE LIXO COM CABO;Linha Limpeza;0.1265;0.124;PC;12
313.006.562;4365;ORGANIZADOR DE COSMETICOS COM 2 GAVETAS - ROSA;Linha Organização;0.454;0.449;PC;6
353.006.003;6750;KIT POTES MODULARES COM 6 PECAS - PRETO;Linha Potes;0.076;0.071;CJ;6
076.024.066;6578;SABONETEIRA COM TAMPA - FUME;Linha Banheiro;0.02125;0.02;PC;24
151.012.003;14049;POTE ALTO COM TRAVAS - PRETO 4,3L;Linha Potes;0.2125;0.21;PC;12
176.024.001;172;POTE COM VALVULA E TRAVAS - 600ML (176);Linha Potes;0.06625;0.065;PC;24
081.012.003;6273;PORTA PAPEL TOALHA - PRETO;Linha Cozinha;0.0825;0.08;PC;12
320.012.001;4377;POTE MODULAR - TRANSPARENTE 450ML;Linha Potes;0.0725;0.07;PC;12
545.012.086;12008;PORTA DETERGENTE E ESPONJA FLAT - CHUMBO;Linha Cozinha;0.0615;0.059;PC;12
307.006.520;4255;TRAVESSA OVAL CANELADA COM TAMPA - BRANCA 2,5L;Linha Potes;0.185;0.18;PC;6
124.012.003;6715;KIT MARMITA COM TALHERES - PRETO 780ML;Linha Potes;0.1425;0.14;CJ;12
303.012.001;4050;POTE RASO RETANGULAR - TRANSPARENTE 3,2L;Linha Potes;0.2325;0.23;PC;12
003.006.012;6541;GAVETEIRO COM 3 GAVETAS - ROSA;Linha Organização;0.465;0.46;CJ;6
093.012.003;3312;CESTINHO VERSATIL - PRETO 4,2L (093/P);Linha Organização;0.1125;0.11;PC;12
555.012.001;9914;POTE COM TAMPA FIXA - TRANSPARENTE 600ML;Linha Potes;0.05917;0.05667;PC;12
434.024.002;9212;KIT DONUTS - BRANCO;Decor-Confeitaria;0.03525;0.034;PC;24
453.012.003;7140;LIXEIRA RATTAN COM CLIQUE - PRETA 4,5L;Linha Lixeiras;0.2425;0.24;PC;12
458.024.002;8099;PORTA LEITE DE SAQUINHO - BRANCO;Decor-Chef;0.18125;0.18;PC;24
016.012.086;11822;ESCORREDOR DE TALHERES MAX - CHUMBO;Linha Cozinha;0.0825;0.08;PC;12
129.012.003;6283;PORTA TALHERES STILLO COM 4 DIVISORIAS - PRETO;Linha Cozinha;0.0925;0.09;PC;12
422.024.002;9205;KIT DECORADOR DE BOLO COM 7 PECAS - BRANCO;Decor-Confeitaria;0.04812;0.047;PC;24
553.012.086;12012;PORTA SABAO LIQUIDO FLAT - CHUMBO 500ML;Linha Limpeza;0.0575;0.055;PC;12
015.012.003;6548;RALADOR PRATIC COM POTE - PRETO 420ML;Linha Cozinha;0.0625;0.06;PC;12
398.004.086;11992;LIXEIRA FLAT COM CLIQUE - CHUMBO 12L;Linha Lixeiras;0.4725;0.465;PC;4
152.006.002;11997;KIT MANTIMENTOS COM 5 PECAS - BRANCO;Linha Potes;0.592;0.587;CJ;6
235.012.001;11902;POTE ACOPLADO COM ROSCA - TRANSPARENTE 500ML;Linha Potes;0.0625;0.06;PC;12
302.012.003;14041;POTE RASO RETANGULAR - PRETO 1,9L;Linha Potes;0.1425;0.14;PC;12
205.006.861;3613;KIT POTE FIT COLORATTO COM 2 PECAS - 450ML (285/K);Linha Coloratto;0.095;0.09;PC;6
391.006.M00;8867;TABUA COM CABO TECA - M;Teca Tábuas;0.65472;0.65472;PC;6
322.006.003;6668;POTE MODULAR - PRETO 1,2L;Linha Potes;0.199;0.194;PC;6
129.012.002;6282;PORTA TALHER STILLO COM 4 DIVISORIAS - BRANCO;Linha Cozinha;0.0925;0.09;PC;12
091.012.002;3308;LIXEIRA VERONA - BRANCA 4L (091/B);Linha Lixeiras;0.1425;0.14;PC;12
203.006.003;6678;POTE ULTRAFORTE COM TELA E TRAVAS - PRETO 4L;Linha Potes;0.285;0.28;PC;6
165.006.086;11872;ESCORREDOR DE PRATOS  - CHUMBO;Linha Cozinha;0.515;0.51;PC;6
121.012.002;6278;ESCORREDOR DE ARROZ CARIBE - BRANCO;Linha Cozinha;0.0725;0.07;PC;12
197.024.010;174;MARMITA DUE COM DIVISORIA MOVEL - 600ML (197);Linha Potes;0.06625;0.065;PC;24
054.004.001;237;CESTO DE ROUPAS 47L (054);Linha Limpeza;1.3375;1.33;PC;4
030.012.003;13976;POTE MONTEREY COM 3 DIVISORIAS - PRETO 1,1L;Linha Potes;0.1325;0.13;PC;12
2570.012.003;14038;POTE ALTO RETANGULAR - PRETO 4,6L;Linha Potes;0.2085;0.206;PC;12
039.012.002;6260;ESCORREDOR BASICO COM CABO - BRANCO;Linha Cozinha;0.0825;0.08;PC;12
399.012.008;9723;PORTA LEITE EM PO - AZUL 280ML;Linha Cozinha;0.0477;0.045;PC;12
131.012.002;13984;FRASQUEIRA MEDICAMENTOS - BRANCA 2,2L;Linha Frasqueiras;0.2605;0.258;PC;12
167.012.001;7189;CABIDE STILL COM 3 PECAS - TRANSPARENTE;Linha Organização;0.1525;0.15;CJ;12
821.004.001;12032;KIT POTE TAMPA FIXA COM 3 PECAS - TRANSPARENTE;Linha Potes;0.185;0.1775;CJ;4
190.012.001;87;KIT POTES ALTOS COM TRAVAS E 3 PECAS - TRANSPARENTE (190);Linha Potes;0.2245;0.222;CJ;12
444.012.001;8096;ORGANIZADOR PARA GAVETAS;Linha Organização;0.1825;0.18;PC;12
113.012.002;6276;TANQUINHO PORTA SABAO EM BARRA - BRANCO;Linha Limpeza;0.0925;0.09;PC;12
112.012.547;4273;COPO MEDIDOR COM TAMPA - VERMELHO 500ML;Linha Cozinha;0.0525;0.05;PC;12
250.024.009;187;CACAROLA MICRO-ONDAS COM CESTO - TRANSPARENTE 1,5L (250);Linha Micro-ondas;0.15125;0.15;PC;24
392.006.M00;8878;TABUA COM CABO TECA - G;Teca Tábuas;0.946864;0.946864;PC;6
136.024.001;180;TRAVESSA MICRO-ONDAS COM TAMPA - TRANSPARENTE 1,5L (136);Linha Micro-ondas;0.16825;0.167;PC;24
361.012.003;155;POTE FARINHA ACOPLADO COM ROSCA - 2L;Linha Potes;0.1165;0.114;PC;12
231.006.861;3614;KIT POTE RASO COLORATTO COM 2 PECAS - 270ML (289/K);Linha Coloratto;0.085;0.08;PC;6
381.012.003;8641;ORGANIZADOR LONGO MODULAR - PRETO 850ML;Linha Organização;0.5515;0.549;PC;12
081.012.002;6272;PORTA PAPEL TOALHA - BRANCO;Linha Cozinha;0.0825;0.08;PC;12
383.012.003;8645;ORGANIZADOR RETANGULAR MODULAR - PRETO 1,450L;Linha Organização;0.5515;0.549;PC;12
228.012.003;6724;POTE REDONDO COM TRAVAS - PRETO 1,1L;Linha Potes;0.1025;0.1;PC;12
184.016.001;11873;CABIDE COM 3 PECAS - TRANSPARENTE;Linha Infantil;0.031875;0.03;CJ;16
116.012.086;11861;PORTA DETERGENTE COM TELINHA - CHUMBO;Linha Cozinha;0.0625;0.06;PC;12
2290.012.001;4038;POTE REDONDO COM TRAVAS - TRANSPARENTE 450ML;Linha Potes;0.0525;0.05;PC;12
